[1]t	 [2]tag	 [3]Gamma	 [4]mu_x	 [5]mu_y	 [6]M20	 [7]M02	 [8]M11	 [9]a	 [10]b	 [11]c	 [12]e 
2 1 0.96653 0.499629 0.0158998 0.00551895 0.00602714 3.12041e-05 0.107453 0.109809 0.105043 0.291414 
2.1 0 -0.966875 -0.49961 0.0168256 0.00556954 0.00611184 -3.178e-05 0.10808 0.110578 0.105524 0.298848 
2.1 1 0.966882 0.499609 0.0168297 0.00556955 0.00611181 3.17786e-05 0.10808 0.110577 0.105524 0.298839 
2.2 0 -0.966486 -0.499635 0.0175915 0.00561133 0.00618182 -2.65974e-05 0.108596 0.111203 0.105925 0.30441 
2.2 1 0.966494 0.499634 0.0175959 0.00561134 0.00618178 2.66091e-05 0.108596 0.111203 0.105925 0.3044 
2.3 0 -0.966339 -0.499616 0.0183975 0.00566357 0.00624737 -2.46787e-05 0.109137 0.111789 0.106419 0.306212 
2.3 1 0.966347 0.499615 0.0184022 0.00566357 0.00624733 2.47059e-05 0.109137 0.111789 0.106419 0.306204 
2.4 0 -0.965923 -0.499647 0.0191685 0.00570872 0.00631184 -2.07783e-05 0.109638 0.112362 0.106846 0.309467 
2.4 1 0.965931 0.499645 0.0191735 0.00570871 0.00631182 2.08179e-05 0.109638 0.112361 0.106846 0.309466 
2.5 0 -0.966249 -0.499549 0.019978 0.00576947 0.00638289 -5.73289e-06 0.110238 0.112986 0.107419 0.31003 
2.5 1 0.966013 0.499505 0.020014 0.00576406 0.00638077 1.08317e-05 0.110204 0.112969 0.107367 0.310977 
2.6 0 -0.966328 -0.499474 0.0208097 0.00583287 0.00644236 -3.78682e-06 0.110794 0.113511 0.108008 0.307593 
2.6 1 0.966337 0.499472 0.0208151 0.00583284 0.00644238 3.82289e-06 0.110794 0.113511 0.108008 0.307607 
2.7 0 -0.966434 -0.499577 0.0216698 0.00588795 0.0065113 -1.58048e-05 0.111352 0.11412 0.108513 0.309598 
2.7 1 0.966443 0.499574 0.0216752 0.00588791 0.00651133 1.58306e-05 0.111352 0.11412 0.108513 0.309615 
2.8 0 -0.965557 -0.499515 0.0223754 0.00593213 0.00655876 -1.13801e-05 0.111763 0.114534 0.108921 0.309195 
2.8 1 0.965565 0.499512 0.0223809 0.00593209 0.0065588 1.13901e-05 0.111763 0.114534 0.108921 0.309213 
2.9 0 -0.964648 -0.499536 0.0230749 0.00597528 0.0066058 -1.77752e-05 0.112165 0.114946 0.109314 0.309183 
2.9 1 0.964656 0.499533 0.0230803 0.00597524 0.00660583 1.77734e-05 0.112165 0.114946 0.109314 0.3092 
3 0 -0.964697 -0.499467 0.0239533 0.00602171 0.00668176 -1.58134e-05 0.11271 0.115604 0.109739 0.314469 
3 1 0.964706 0.499464 0.0239586 0.00602165 0.00668179 1.58013e-05 0.11271 0.115604 0.109739 0.314491 
3.1 0 -0.96426 -0.499495 0.0245999 0.00608218 0.00672449 -1.97562e-05 0.113167 0.115975 0.110287 0.309338 
3.1 1 0.964269 0.499492 0.0246051 0.00608214 0.00672452 1.97325e-05 0.113167 0.115975 0.110286 0.309354 
3.2 0 -0.963818 -0.499469 0.0254237 0.00611361 0.00680044 -1.91199e-05 0.11364 0.116627 0.110572 0.318033 
3.2 1 0.963827 0.499466 0.0254288 0.00611358 0.00680046 1.9089e-05 0.11364 0.116628 0.110572 0.318046 
3.3 0 -0.963128 -0.499409 0.0261635 0.00615409 0.00685713 -1.57837e-05 0.114067 0.117111 0.110939 0.320352 
3.3 1 0.963137 0.499406 0.0261684 0.00615407 0.00685714 1.57452e-05 0.114067 0.117111 0.110939 0.320358 
3.4 0 -0.963416 -0.49934 0.0270886 0.00620065 0.00694128 -4.60547e-06 0.114638 0.117825 0.111361 0.326662 
3.4 1 0.963426 0.499337 0.0270934 0.00620065 0.00694128 4.56204e-06 0.114638 0.117825 0.111361 0.326662 
