0       0.00234135      0.000265359     -0.00057282     -9.35334e-05    0       -0.00057282     0       
0.05    0.184095        -0.00217577     -3.40935        0.046281        3.41309 0.00374303      -0.0935054      
0.1     0.348616        -0.00836154     -3.27814        0.0705848       3.28979 0.0116512       -0.141402       
0.15    0.516048        -0.0156354      -3.37312        0.0708548       3.39293 0.0198041       -0.141785       
0.2     0.684645        -0.0222809      -3.23992        0.0607034       3.26764 0.0277251       -0.12147        
0.25    0.83813 -0.0276497      -2.75275        0.0455385       2.78786 0.0351136       -0.0911544      
0.3     0.958873        -0.0312631      -1.92523        0.0257056       1.96648 0.0412586       -0.0514901      
0.35    1.03082 -0.0327027      -0.811949       0.00265187      0.857305        0.0453556       -0.0053509      
0.4     1.04221 -0.0317817      0.464129        -0.0206042      -0.417392       0.0467373       0.0412201       
0.45    0.989105        -0.0286647      1.71807 -0.0402788      -1.673  0.0450676       0.0806282       
0.5     0.87769 -0.0239002      2.74147 -0.0527429      -2.70098        0.0404847       0.105583        
0.55    0.724158        -0.0183508      3.35775 -0.0556919      -3.3241 0.0336572       0.111461        
0.6     0.551535        -0.0129914      3.48701 -0.0494702      -3.4613 0.0257053       0.0989672       
0.65    0.38353 -0.00859945     3.1875  -0.0375522      -3.16958        0.0179186       0.0750883       
0.7     0.237883        -0.00549364     2.62396 -0.0249762      -2.61263        0.0113319       0.0499214       
0.75    0.123254        -0.00351914     1.97085 -0.0155333      -1.96442        0.00642805      0.0310412       
0.8     0.0410505       -0.00227839     1.33362 -0.0102057      -1.33045        0.00317399      0.020397        
0.85    -0.0105544      -0.00140371     0.742071        -0.00774862     -0.740806       0.00126443      0.015494        
0.9     -0.0336868      -0.000707134    0.187906        -0.00616701     -0.187575       0.000330874     0.0123508       
0.95    -0.0298125      -0.00019188     -0.342668       -0.00384421     0.342691        2.28497e-05     0.0077746 
