La,Bo,dgaminf,beta,E,sd,Pe,R_d,Ca_d,t_d
2700,0.16,0.55,0.25,1,0.02,100,0.115476,0.110169,0.744725
2700,0.16,0.55,0.25,0.5,0.02,100,0.095936,0.132039,0.685323
2700,0.16,0.55,0.25,0,0.02,100,0.0778363,0.157429,0.636966
2000,0.16,0.55,0.3,1,0.02,100,0.151411,0.0717066,0.927308
2000,0.16,0.55,0.3,0.5,0.02,100,0.128846,0.0905432,0.842672
2000,0.16,0.55,0.3,0,0.02,100,0.106161,0.113481,0.765556
2000,0.16,0.55,0.1,1,0.02,100,0.0634673,0.263595,0.549402
2000,0.16,0.55,0.1,0.5,0.02,100,0.0584513,0.28572,0.536729
2000,0.16,0.55,0.1,0,0.02,100,0.054345,0.306667,0.527189
2000,0.16,0.55,0.2,1,0.02,100,0.118306,0.122999,0.754304
2000,0.16,0.55,0.2,0.5,0.02,100,0.103807,0.143825,0.705646
2000,0.16,0.55,0.2,0,0.02,100,0.090092,0.168372,0.662783
2000,0.16,0.55,0.35,1,0.02,100,0.160322,0.0562901,0.997623
2000,0.16,0.55,0.35,0.5,0.02,100,0.136632,0.0731565,0.902993
2000,0.16,0.55,0.35,0,0.02,100,0.110898,0.09264,0.81636
2000,0.16,0.55,0.15,1,0.02,100,0.0943647,0.171536,0.654343
2000,0.16,0.55,0.15,0.5,0.02,100,0.0847501,0.193004,0.625079
2000,0.16,0.55,0.15,0,0.02,100,0.0760046,0.216774,0.600071
2000,0.16,0.55,0.25,1,0.02,100,0.136991,0.0931077,0.844751
2000,0.16,0.55,0.25,0.5,0.02,100,0.117864,0.113178,0.776757
2000,0.16,0.55,0.25,0,0.02,100,0.0993569,0.137547,0.715841
67000,0.13,0.52,0,0.5,0.02,20,0.160222,0.040495,0.630287
67000,0.13,0.52,0.05,0.5,0.02,20,0.0452893,0.0976282,0.445816
67000,0.13,0.52,0.3,0.5,0.02,20,0.0670003,0.053933,0.549406
67000,0.13,0.52,0.1,0.5,0.02,20,0.0470654,0.0884333,0.460963
67000,0.13,0.52,0.35,0.5,0.02,20,0.0622114,0.0562338,0.546407
67000,0.13,0.52,0.15,0.5,0.02,20,0.0544715,0.0723897,0.490981
67000,0.13,0.52,0.25,0.5,0.02,20,0.0669131,0.0556848,0.540469
75000,0.13,0.52,0,0.5,0.02,20,0.160444,0.0371723,0.633384
75000,0.13,0.52,0.05,0.5,0.02,20,0.045852,0.0924509,0.444268
75000,0.13,0.52,0.3,0.5,0.02,20,0.0701942,0.0486422,0.557458
75000,0.13,0.52,0.1,0.5,0.02,20,0.0482079,0.0822967,0.462224
75000,0.13,0.52,0.2,0.5,0.02,20,0.063832,0.0563582,0.524305
75000,0.13,0.52,0.35,0.5,0.02,20,0.0653346,0.0504958,0.553863
75000,0.13,0.52,0.15,0.5,0.02,20,0.0557149,0.0667396,0.493831
75000,0.13,0.52,0.25,0.5,0.02,20,0.069417,0.0506089,0.547047
83000,0.13,0.52,0.05,0.5,0.02,20,0.0459994,0.0879272,0.443249
83000,0.13,0.52,0.3,0.5,0.02,20,0.072948,0.0444113,0.564897
83000,0.13,0.52,0.1,0.5,0.02,20,0.0488221,0.0770629,0.46345
83000,0.13,0.52,0.2,0.5,0.02,20,0.0650383,0.0522562,0.528481
83000,0.13,0.52,0.35,0.5,0.02,20,0.0679101,0.0459412,0.560752
83000,0.13,0.52,0.15,0.5,0.02,20,0.0564737,0.0581361,0.499451
83000,0.13,0.52,0.25,0.5,0.02,20,0.0712435,0.0464845,0.552953
