,id,bubble_lifetime,bubble_radius,d1_radius,d1_velocity,t_d1,ndrops,solution,delta_gamma_infinity,beta,delta_gamma_infinity_tanh,beta_tanh,surface_tension,clean_surface_tension,bo,la,lad1,ca,t_d1_over_tcap
0,250320_131646,9.075,0.0007612272213620142,5.342456418390436e-05,4.150892656240383,0.0013,7.0,0gly_0tx,0.58,0.0001041007526674,0.52,0.0001040573217684,0.0721081,0.072,0.07956636267874968,57431.55506055505,4030.6700987705494,0.05653785248425425,0.5231858003217127
1,250320_131855,0.8,0.0006620564518014933,0.0001387549069447,1.5124305083135965,0.0025,1.0,0gly_0tx,0.58,0.0001041007526674,0.52,0.0001040573217684,0.0721081,0.072,0.06018536919683564,49949.51638329647,10468.503824467129,0.020600285300841525,1.2404564932666322
2,250320_132001,12.5,0.0009568738949098395,0.0001470955740007,2.569518856752822,0.0024,3.0,0gly_0tx,0.58,0.0001041007526674,0.52,0.0001040573217684,0.0721081,0.072,0.12572171526377954,72192.31556537778,11097.773858204684,0.034998514803845034,0.6853513038798186
3,250320_132135,12.925,0.0009568738949098395,0.0001398285212146,2.587148780373657,0.0021999999999999,3.0,0gly_0tx,0.58,0.0001041007526674,0.52,0.0001040573217684,0.0721081,0.072,0.12572171526377954,72192.31556537778,10549.503735302209,0.03523864580783159,0.6282386952231385
4,250320_132248,14.6,0.0009568738949098395,0.0001485696012462,2.582647231529366,0.0024,5.0,0gly_0tx,0.58,0.0001041007526674,0.52,0.0001040573217684,0.0721081,0.072,0.12572171526377954,72192.31556537778,11208.98332961484,0.03517733179044149,0.6853513038798186
5,250320_132406,11.9,0.0008920645596464901,0.0001294843425934,2.687161554580904,0.0020999999999999,4.0,0gly_0tx,0.58,0.0001041007526674,0.52,0.0001040573217684,0.0721081,0.072,0.10926811633662323,67302.7099362526,9769.076751915156,0.03660088471472539,0.6662065945456027
6,250320_132509,10.575,0.0009568738949098395,0.000144575925461,2.586068401757112,0.0024,3.0,0gly_0tx,0.58,0.0001041007526674,0.52,0.0001040573217684,0.0721081,0.072,0.12572171526377954,72192.31556537778,10907.676434229077,0.035223930349758376,0.6853513038798186
7,250320_132609,13.925,0.0009891249855084,0.0001505409022188,2.517323411783572,0.0025,3.0,0gly_0tx,0.58,0.0001041007526674,0.52,0.0001040573217684,0.0721081,0.072,0.13433934590623497,74625.53160586579,11357.710118636172,0.0342875789612655,0.6792776282053682
8,250320_132724,12.1,0.0009891249855084,0.0001495156401042,2.6316867796621777,0.0024,4.0,0gly_0tx,0.58,0.0001041007526674,0.52,0.0001040573217684,0.0721081,0.072,0.13433934590623497,74625.53160586579,11280.358184898443,0.03584528226949305,0.6521065230771534
9,250320_132838,14.575,0.0009568738949098395,0.0001483393498855,2.6367667431015,0.0023,3.0,0gly_0tx,0.58,0.0001041007526674,0.52,0.0001040573217684,0.0721081,0.072,0.12572171526377954,72192.31556537778,11191.611783605033,0.035914474669138954,0.6567949995514929
10,250320_132953,11.875,0.0009891249855084,0.0001514746297641,2.634177654139594,0.0024,3.0,0gly_0tx,0.58,0.0001041007526674,0.52,0.0001040573217684,0.0721081,0.072,0.13433934590623497,74625.53160586579,11428.15613452287,0.035879209596799196,0.6521065230771534
11,250320_133111,13.35,0.0009891249855084,0.0001516719542003,2.58491805781366,0.0024,3.0,0gly_0tx,0.58,0.0001041007526674,0.52,0.0001040573217684,0.0721081,0.072,0.13433934590623497,74625.53160586579,11443.04347552223,0.03520826191851545,0.6521065230771534
12,250320_133238,12.65,0.0009568738949098395,0.0001473857608561,2.62520865714221,0.0024,4.0,0gly_0tx,0.58,0.0001041007526674,0.52,0.0001040573217684,0.0721081,0.072,0.12572171526377954,72192.31556537778,11119.667298029308,0.0357570460355692,0.6853513038798186
13,250320_133351,12.25,0.0009891249855084,0.0001481375863705,2.655901188359484,0.0023,3.0,0gly_0tx,0.58,0.0001041007526674,0.52,0.0001040573217684,0.0721081,0.072,0.13433934590623497,74625.53160586579,11176.38953183085,0.036175098234467136,0.6249354179489387
14,250320_133511,12.35,0.0009568738949098395,0.0001470665238229,2.6671929089209345,0.0023,4.0,0gly_0tx,0.58,0.0001041007526674,0.52,0.0001040573217684,0.0721081,0.072,0.12572171526377954,72192.31556537778,11095.582138256921,0.036328898798410156,0.6567949995514929
15,250320_152251,8.125,0.001021273591913001,9.63346818124526e-05,1.875611097043236,0.0027,1.0,0gly_10tx,0.58,0.4192306002828689,0.52,0.313479381311596,0.0488841,0.072,0.14321387269196448,77051.01562303273,7268.067178225329,0.025547040674019226,0.6992535379627278
16,250320_152422,10.775,0.0009891249855084,9.32699284590473e-05,1.7632712877491603,0.0027,1.0,0gly_10tx,0.58,0.4192306002828689,0.52,0.313479381311596,0.0488841,0.072,0.13433934590623497,74625.53160586579,7036.843772094126,0.02401689954728374,0.7336198384617977
17,250320_152531,6.775,0.0009891249855084,9.990544901349572e-05,1.7305801245667471,0.0028,1.0,0gly_10tx,0.58,0.4192306002828689,0.52,0.313479381311596,0.0488841,0.072,0.13433934590623497,74625.53160586579,7537.467309172046,0.023571624683630672,0.7607909435900123
18,250320_152626,5.5,0.0009891249855084,8.832896536965172e-05,1.6986669654505495,0.0028,1.0,0gly_10tx,0.58,0.4192306002828689,0.52,0.313479381311596,0.0488841,0.072,0.13433934590623497,74625.53160586579,6664.067831143056,0.023136946740392232,0.7607909435900123
