[1]t	 [2]tag	 [3]Gamma	 [4]mu_x	 [5]mu_y	 [6]M20	 [7]M02	 [8]M11	 [9]a	 [10]b	 [11]c	 [12]e 
0.35 0 -8.03153 -2.35348 -1.22055 0.112271 0.188404 -0.116484 0.548338 0.738761 0.235756 0.947713 
0.35 1 -0.26177 -1.79962 -1.13111 0.0103023 0.00367077 -0.00538156 0.118208 0.163142 0.0364831 0.974675 
0.35 2 138.916 -1.40286 -0.550415 0.056131 0.0531005 -0.00491698 0.330502 0.345719 0.314549 0.414959 
0.35 3 -0.00846044 -1.19141 -1.69922 -0 -0 -0 -0 0 -0 -nan 
0.35 4 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
0.35 5 -2.274 2.61371 -2.07724 0.0137013 0.0274138 0.0157409 0.202769 0.274688 0.0823199 0.954038 
0.35 6 112.258 2.30583 0.472333 0.0553734 0.0533397 0.00116474 0.329717 0.334373 0.324993 0.235194 
0.35 7 -23.5009 3.56127 0.109565 0.0870118 0.421413 -0.060479 0.713039 0.929532 0.390922 0.907266 
0.4 0 -7.39394 -1.69443 -1.82177 0.24975 0.045645 -0.0719082 0.543503 0.738295 0.213802 0.957151 
0.4 1 139.025 -1.2972 -0.753371 0.0519731 0.0580899 0.0021454 0.331757 0.342833 0.320299 0.356569 
0.4 2 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
0.4 3 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
0.4 4 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
0.4 5 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
0.4 6 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
0.4 7 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
0.4 8 -0.0791882 -0.55742 -1.00438 0.000929784 0.00528528 0.00191545 0.0788357 0.109616 0.02036 0.982599 
0.4 9 -0.0700516 -0.620037 -0.600904 0.000356836 0.00543517 -0.00106323 0.0761052 0.10629 0.0169244 0.987242 
0.4 10 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
0.4 11 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
0.4 12 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
0.4 13 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
0.4 14 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
0.4 15 -2.20054 2.93946 -1.82737 0.0146665 0.0288658 0.0172607 0.208644 0.284359 0.0787702 0.960867 
0.4 16 -22.5666 3.56789 0.738622 0.226989 0.389624 -0.148256 0.785247 0.977138 0.527662 0.84166 
0.4 17 112.37 2.21464 0.799969 0.0545681 0.055008 0.00194545 0.331023 0.336885 0.325054 0.262686 
0.45 0 -6.67981 -0.797305 -1.96557 0.243287 0.0472122 0.0834364 0.53898 0.740251 0.181734 0.969396 
0.45 1 139.121 -1.17121 -0.917384 0.0599203 0.0515469 0.00429525 0.333867 0.351374 0.31539 0.440828 
0.45 2 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
0.45 3 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
0.45 4 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
0.45 5 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
0.45 6 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
0.45 7 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
0.45 8 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
0.45 9 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
0.45 10 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
0.45 11 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
0.45 12 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
0.45 13 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
0.45 14 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
0.45 15 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
0.45 16 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
0.45 17 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
0.45 18 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
0.45 19 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
0.45 20 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
0.45 21 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
0.45 22 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
0.45 23 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
0.45 24 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
0.45 25 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
0.45 26 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
0.45 27 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
0.45 28 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
0.45 29 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
0.45 30 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
0.45 31 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
0.45 32 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
0.45 33 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
0.45 34 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
0.45 35 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
0.45 36 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
0.45 37 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
0.45 38 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
0.45 39 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
0.45 40 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
0.45 41 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
0.45 42 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
0.45 43 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
0.45 44 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
0.45 45 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
0.45 46 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
0.45 47 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
0.45 48 -0.0350555 -0.937763 -0.136719 0.00187004 -0 -0 0.043244 0.0611563 0 1 
0.45 49 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
0.45 50 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
0.45 51 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
0.45 52 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
0.45 53 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
0.45 54 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
0.45 55 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
0.45 56 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
0.45 57 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
0.45 58 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
0.45 59 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
0.45 60 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
0.45 61 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
0.45 62 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
0.45 63 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
0.45 64 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
0.45 65 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
0.45 66 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
0.45 67 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
0.45 68 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
0.45 69 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
0.45 70 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
0.45 71 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
0.45 72 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
0.45 73 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
0.45 74 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
0.45 75 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
0.45 76 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
0.45 77 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
0.45 78 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
0.45 79 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
0.45 80 -2.06802 3.22054 -1.55078 0.0140388 0.0290523 0.0171366 0.207584 0.28374 0.0753242 0.964119 
0.45 81 -20.2429 3.60574 1.28953 0.0798003 0.327514 -0.110578 0.638212 0.859876 0.274302 0.947754 
0.45 82 -0.204541 1.13771 0.950108 0.00111549 0.0207241 -0.00414686 0.147782 0.207678 0.0234335 0.993614 
0.45 83 112.332 2.07746 1.08773 0.0548793 0.055105 0.000940972 0.331639 0.334484 0.328769 0.184074 
0.5 0 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
0.5 1 139.159 -1.02563 -1.0526 0.0562738 0.0554931 -0.00186685 0.334316 0.339973 0.328561 0.256913 
0.5 2 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
0.5 3 -6.12963 -0.035854 -1.57267 0.102806 0.177345 0.117346 0.529293 0.725531 0.184138 0.967257 
0.5 4 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
0.5 5 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
0.5 6 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
0.5 7 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
0.5 8 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
0.5 9 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
0.5 10 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
0.5 11 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
0.5 12 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
0.5 13 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
0.5 14 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
0.5 15 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
0.5 16 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
0.5 17 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
0.5 18 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
0.5 19 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
0.5 20 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
0.5 21 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
0.5 22 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
0.5 23 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
0.5 24 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
0.5 25 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
0.5 26 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
0.5 27 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
