[1]t	 [2]j	 [3]Gamma	 [4]mu_x	 [5]mu_y	 [6]M20	 [7]M02	 [8]M11	 [9]a	 [10]b	 [11]c	 [12]e	 [13]maxvor 
0.95 0 0.962698 -0.479615 -0.141747 0.00477823 0.00450119 3.85136e-05 0.0963298 0.0978109 0.0948255 0.245179 29.8165
0.95 1 0.962629 0.4794 0.141697 0.00477871 0.00450172 3.87592e-05 0.096335 0.0978165 0.0948303 0.245203 29.7971
1 0 0.962608 -0.47745 -0.149 0.00480894 0.00449342 3.7036e-05 0.0964487 0.0981145 0.0947537 0.259487 29.6956
1 1 0.962658 0.477184 0.148946 0.00481339 0.00449357 3.5082e-05 0.0964726 0.0981549 0.0947604 0.260709 29.6788
1.05 0 0.962603 -0.475061 -0.156244 0.00484911 0.00447918 4.97633e-05 0.0965831 0.0985463 0.0945791 0.280879 29.6121
1.05 1 0.962472 0.47477 0.156198 0.0048486 0.0044792 5.35777e-05 0.0965805 0.0985517 0.0945684 0.281431 29.5999
1.1 0 0.961868 -0.47268 -0.163414 0.00487205 0.00446206 7.38895e-05 0.0966132 0.0988429 0.0943308 0.298686 29.5657
1.1 1 0.961914 0.472426 0.163329 0.00487277 0.0044658 7.52762e-05 0.0966363 0.098856 0.0943644 0.298004 29.5444
1.15 0 0.962347 -0.470149 -0.17059 0.00490404 0.00446926 0.00010035 0.0968158 0.0992581 0.0943103 0.311788 29.4422
1.15 1 0.962208 0.46986 0.170511 0.00490402 0.00446907 0.000101199 0.0968147 0.0992614 0.0943046 0.312058 29.4234
1.2 0 0.962626 -0.467564 -0.177656 0.00491681 0.00448876 0.000126492 0.0969823 0.0995128 0.094384 0.316892 29.3608
1.2 1 0.962483 0.467267 0.17759 0.00491682 0.0044887 0.000130113 0.0969821 0.0995315 0.0943638 0.318034 29.3453
1.25 0 0.962476 -0.464785 -0.184742 0.00491918 0.00450708 0.000154735 0.0970889 0.0997077 0.0943975 0.321991 29.3269
1.25 1 0.962211 0.464443 0.184616 0.00491606 0.00450646 0.000152497 0.0970697 0.0996654 0.0944026 0.320659 29.304
1.3 0 0.962415 -0.461916 -0.191707 0.0049129 0.00453504 0.000176151 0.0972005 0.0998226 0.0945057 0.32201 29.2144
1.3 1 0.962392 0.461615 0.191628 0.0049153 0.00453603 0.000175686 0.097218 0.0998416 0.0945215 0.322075 29.1938
1.35 0 0.962081 -0.459004 -0.198731 0.0049029 0.00455947 0.00019213 0.0972748 0.0998886 0.0945887 0.321407 29.125
1.35 1 0.961993 0.458682 0.198651 0.00490319 0.00456082 0.00019207 0.0972831 0.0998929 0.0946015 0.321147 29.1117
1.4 0 0.961864 -0.455904 -0.205702 0.00489073 0.00458802 0.000196283 0.0973589 0.0998723 0.0947788 0.315275 29.0427
1.4 1 0.961776 0.455558 0.205583 0.00489473 0.004586 0.000195512 0.0973691 0.0998947 0.0947762 0.315994 29.0159
1.45 0 0.962018 -0.452715 -0.212541 0.00488798 0.00461751 0.000196866 0.0974961 0.0999158 0.0950147 0.30935 28.9233
1.45 1 0.962052 0.452375 0.212428 0.00489116 0.0046199 0.000199164 0.0975247 0.0999649 0.0950218 0.310566 28.9011
1.5 0 0.961701 -0.449478 -0.219384 0.00487402 0.00464534 0.000200387 0.0975672 0.0999039 0.0951732 0.304078 28.875
1.5 1 0.961733 0.449136 0.219258 0.00487539 0.00464935 0.000202358 0.0975948 0.0999415 0.0951902 0.304666 28.8591
1.55 0 0.961735 -0.446141 -0.226208 0.0048763 0.00466604 0.000189964 0.0976849 0.0998827 0.0954364 0.295042 28.7581
1.55 1 0.961585 0.445707 0.226068 0.00487633 0.00466629 0.000190892 0.0976863 0.0998918 0.09543 0.295529 28.7353
1.6 0 0.961727 -0.442608 -0.232967 0.00488564 0.00467923 0.000184669 0.0978002 0.0999398 0.0956126 0.291071 28.6987
1.6 1 0.961458 0.442193 0.232797 0.00488287 0.00467867 0.00018278 0.0977831 0.0999013 0.095618 0.289674 28.6882
1.65 0 0.961688 -0.439096 -0.239644 0.00489028 0.00469659 0.000179455 0.0979126 0.0999736 0.0958073 0.285677 28.6191
1.65 1 0.961536 0.438665 0.239509 0.00488942 0.00469761 0.000180142 0.0979134 0.0999759 0.0958064 0.285781 28.5958
1.7 0 0.961558 -0.435325 -0.246262 0.00489734 0.00470902 0.000175906 0.0980121 0.100027 0.0959548 0.282428 28.5508
1.7 1 0.961721 0.434906 0.24609 0.00489984 0.00471539 0.000178033 0.0980573 0.100081 0.0959908 0.282968 28.5407
1.75 0 0.961244 -0.431592 -0.252812 0.00490274 0.00471829 0.000176088 0.0980868 0.100093 0.0960389 0.281714 28.4553
1.75 1 0.961158 0.431193 0.252662 0.00490532 0.0047176 0.000176252 0.0980965 0.100111 0.0960393 0.282306 28.4297
1.8 0 0.961111 -0.427625 -0.259262 0.00492033 0.00472077 0.000176064 0.0981891 0.100229 0.096106 0.283866 28.3578
1.8 1 0.960794 0.427192 0.259111 0.00491591 0.00472024 0.000175329 0.0981639 0.100188 0.0960968 0.28286 28.342
1.85 0 0.961349 -0.423739 -0.265731 0.00493918 0.00473258 0.000179772 0.0983451 0.100431 0.0962138 0.286748 28.2812
1.85 1 0.961333 0.423282 0.265562 0.00494088 0.00473465 0.000181834 0.0983643 0.100467 0.0962157 0.287819 28.2573
1.9 0 0.960854 -0.419578 -0.272203 0.0049389 0.00474284 0.000186572 0.0983959 0.100515 0.0962301 0.288862 28.2048
1.9 1 0.960781 0.419132 0.27203 0.00493872 0.0047448 0.000185373 0.0984049 0.100508 0.0962555 0.287811 28.1928
1.95 0 0.961205 -0.41546 -0.278567 0.00495818 0.00475781 0.000194503 0.0985697 0.100765 0.0963245 0.293584 28.1386
1.95 1 0.96119 0.414967 0.278396 0.0049636 0.00475604 0.000193126 0.0985882 0.100787 0.0963387 0.293824 28.1167
2 0 0.960947 -0.411181 -0.28478 0.00495442 0.00477798 0.000203095 0.0986529 0.100872 0.0963823 0.295035 28.0721
2 1 0.961058 0.410705 0.284584 0.00495637 0.00478313 0.000204406 0.0986889 0.100913 0.0964132 0.295298 28.0609
2.05 0 0.961062 -0.406795 -0.290959 0.00496997 0.00478997 0.000210759 0.0987924 0.101086 0.0964448 0.299517 27.9646
2.05 1 0.961115 0.406308 0.290748 0.00497234 0.00479296 0.000210482 0.0988196 0.101108 0.0964765 0.299203 27.9415
2.1 0 0.960693 -0.40236 -0.297092 0.00496621 0.00480684 0.000216571 0.0988588 0.101166 0.0964962 0.300317 27.9173
2.1 1 0.960441 0.401858 0.29688 0.00496256 0.00480719 0.000215909 0.0988421 0.101137 0.0964927 0.299553 27.8912
2.15 0 0.960673 -0.397827 -0.303262 0.00498057 0.00481645 0.000224649 0.0989799 0.101367 0.0965333 0.305129 27.8111
2.15 1 0.960663 0.39727 0.303006 0.004978 0.00482293 0.000228046 0.0989997 0.101404 0.096536 0.306102 27.7932
2.2 0 0.960779 -0.393184 -0.309161 0.00497372 0.00484962 0.000230785 0.0991128 0.101495 0.0966715 0.304624 27.7684
2.2 1 0.960956 0.392644 0.308918 0.00497936 0.00485305 0.000230853 0.0991585 0.101543 0.0967147 0.304706 27.7462
2.25 0 0.960708 -0.388422 -0.315136 0.00497593 0.00486854 0.000230425 0.0992193 0.101576 0.0968053 0.302862 27.6722
2.25 1 0.960581 0.387848 0.314895 0.0049702 0.00487466 0.00023149 0.0992213 0.101576 0.0968097 0.302716 27.6566
2.3 0 0.960322 -0.383624 -0.32101 0.0049797 0.00487804 0.000237313 0.0992862 0.101701 0.0968109 0.306362 27.5839
2.3 1 0.960312 0.383056 0.32076 0.00498128 0.00488017 0.0002359 0.0993048 0.101705 0.0968449 0.30544 27.561
2.35 0 0.960315 -0.378725 -0.326743 0.00497565 0.00490429 0.00023292 0.0993979 0.101741 0.0969983 0.301756 27.5403
2.35 1 0.960307 0.378167 0.326486 0.00497715 0.00490656 0.000231934 0.0994168 0.101749 0.0970284 0.301069 27.5155
2.4 0 0.960551 -0.373752 -0.332477 0.0049864 0.00492404 0.000237213 0.0995512 0.101926 0.0971181 0.30351 27.4525
2.4 1 0.960481 0.373133 0.332193 0.00498437 0.0049285 0.000239162 0.0995634 0.101953 0.0971148 0.304401 27.4386
2.45 0 0.96017 -0.368657 -0.338139 0.00498403 0.00493919 0.000239768 0.0996154 0.102004 0.0971679 0.304265 27.3737
2.45 1 0.960279 0.368095 0.337883 0.00499082 0.00493989 0.000240888 0.0996529 0.102055 0.0971918 0.305008 27.3486
2.5 0 0.960464 -0.363475 -0.343684 0.00498441 0.00496992 0.000235196 0.0997714 0.102103 0.0973844 0.300477 27.312
2.5 1 0.960456 0.362874 0.343397 0.00498632 0.00497211 0.000235933 0.099792 0.10213 0.0973979 0.300863 27.2932
2.55 0 0.960079 -0.358255 -0.349116 0.00499199 0.00497523 0.000239145 0.0998359 0.102205 0.0974096 0.302707 27.2242
2.55 1 0.960313 0.357629 0.348809 0.00499647 0.00498193 0.000241415 0.0998919 0.102281 0.0974441 0.303889 27.2095
2.6 0 0.960199 -0.352916 -0.35459 0.00499716 0.00499669 0.000238126 0.0999692 0.102324 0.0975582 0.301619 27.1632
2.6 1 0.960125 0.352312 0.354274 0.00500259 0.00499333 0.000237535 0.0999796 0.102328 0.0975744 0.301259 27.1375
