263500.622 6791506.891 263385.299 6791234.340
263385.299 6791234.340 263471.950 6790867.658
263471.950 6790867.658 263402.050 6790757.950
263402.050 6790757.950 262287.984 6790319.537
262287.984 6790319.537 262001.746 6789747.654
262001.746 6789747.654 261793.787 6789599.089
261793.787 6789599.089 261772.768 6789032.856
261772.768 6789032.856 261677.050 6788880.821
261677.050 6788880.821 261751.950 6788733.538
261751.950 6788733.538 261472.050 6788360.637
261472.050 6788360.637 261509.663 6788225.262
261509.663 6788225.262 261123.217 6788055.216
261123.217 6788055.216 261008.137 6787559.763
261008.137 6787559.763 260581.950 6787303.050
260581.950 6787303.050 260392.073 6786786.937
260392.073 6786786.937 260177.832 6786772.950
260177.832 6786772.950 259778.255 6786409.577
259778.255 6786409.577 258966.847 6786188.017
258966.847 6786188.017 258907.355 6785853.098
258907.355 6785853.098 258502.336 6785556.970
258502.336 6785556.970 258480.251 6784950.159
258480.251 6784950.159 258344.348 6784898.411
258344.348 6784898.411 258470.550 6784263.183
258470.550 6784263.183 258738.654 6784239.025
258738.654 6784239.025 258957.294 6784458.613
258957.294 6784458.613 259326.450 6784308.062
259326.450 6784308.062 259718.324 6784472.772
259718.324 6784472.772 260044.722 6784349.476
260044.722 6784349.476 260074.749 6784031.932
260074.749 6784031.932 259935.144 6783793.923
259935.144 6783793.923 260091.950 6783538.247
260091.950 6783538.247 260127.257 6783013.243
260127.257 6783013.243 260536.917 6782729.583
260536.917 6782729.583 260827.216 6782751.084
260827.216 6782751.084 260959.500 6782555.500
260959.500 6782555.500 260870.470 6782443.725
260870.470 6782443.725 260982.128 6782192.583
260982.128 6782192.583 261532.250 6781772.755
261532.250 6781772.755 261472.050 6781507.265
261472.050 6781507.265 261651.950 6780961.163
261651.950 6780961.163 261637.139 6780303.681
261637.139 6780303.681 262237.391 6779649.652
262237.391 6779649.652 262231.881 6779198.016
262231.881 6779198.016 262367.054 6778812.849
262367.054 6778812.849 262489.152 6778747.031
262489.152 6778747.031 262391.557 6778537.232
262391.557 6778537.232 262430.773 6778390.031
262430.773 6778390.031 262163.735 6778269.150
262163.735 6778269.150 262107.690 6777405.398
