x, y
12.602807122399028, 0.00007778053640618129
19.07101605557678, 0.0009482328687118876
24.8233169839341, 0.001910808694877218
31.11649375287714, 0.002262921375801203
43.20301129925716, 0.0019340326368130051
48.37037331876952, 0.0017772055896677563
56.23413251903491, 0.0011785652184476047
61.95210605648284, 0.0006520347231017479
68.61966573053274, 0.000791072266975177
74.38670590458094, 0.0005183051443918564
82.39253221373981, 0.00041200293969795635
87.88712009482809, 0.000459324511941597
105.52721725608632, 0.0001833913315387614
117.5150414070389, 0.00011175542780526249
129.46415250589146, 0.00011587997545538951
140.3447792278658, 0.00009903819765035521
142.62826769565157, 0.00006257953315772456
151.323557286549, 0.00006647605945439264
161.41501292761237, 0.0000509612760247944
167.60966784068722, 0.000054792337980671926
171.25563081073088, 0.00004355465996280687
181.69617901362068, 0.00004974473416844086
188.66916812782662, 0.0000310548985923538
203.42822745862446, 0.00003420604267109051
233.96930149971305, 0.00002109790072703863
296.4576193907456, 0.000010988120155232723
306.1831652762857, 0.000008840661962068971
333.7063616686569, 0.000008840661962068971
352.1510372754647, 0.00000565406719336045
373.61981971471494, 0.0000054528204338199106
402.84704926711026, 0.000004031405215288188
420.56369116276153, 0.000004031405215288188
488.9363616377982, 0.0000020744072369875176
556.3231120899713, 0.0000011616029665770837
643.2965391400597, 5.361372354649957e-7
724.1242373585943, 2.86057477966449e-7
819.5046116934549, 1.213236410496704e-7
