[1]t	 [2]tag	 [3]Gamma	 [4]mu_x	 [5]mu_y	 [6]mu_z	 [7]M20	 [8]M02	 [9]M11	 [10]a	 [11]b	 [12]c	 [13]e 
0.4 0 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 
0.4 1 0.796967 -3.04427e-06 7.15921 0.841223 0.00381795 0.00400471 -3.53313e-05 0.0884458 0.0895676 0.0873097 0.223118 
0.4 2 0.504273 0.000439503 6.90873 1.94427 0.00389608 0.00165905 4.6455e-05 0.0745328 0.0882841 0.0575863 0.757975 
0.42 0 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 
0.42 1 0.79498 7.4115e-06 7.15816 0.842613 0.00382691 0.00401502 -3.13664e-05 0.0885547 0.0896673 0.0874279 0.222093 
0.42 2 0.48907 0.00023529 6.91093 1.94594 0.00390176 0.00159286 -9.12488e-06 0.0741257 0.0883379 0.0564415 0.769267 
0.44 0 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 
0.44 1 0.791987 2.65544e-05 7.15623 0.845794 0.00387025 0.00400259 -5.55068e-05 0.088729 0.0896971 0.0877502 0.207217 
0.44 2 0.478917 0.000259516 6.91221 1.94671 0.00393383 0.00157725 5.50944e-06 0.0742367 0.0887 0.0561647 0.77399 
0.46 0 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 
0.46 1 0.78943 0.000306641 7.15324 0.849703 0.00389847 0.00400691 -0.000170801 0.0889122 0.0909053 0.0868733 0.294517 
0.46 2 0.468191 0.000283371 6.91348 1.94746 0.00396361 0.00156089 1.91886e-05 0.074327 0.0890366 0.0558702 0.778619 
0.48 0 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 
0.48 1 0.781534 0.000138318 7.15013 0.852908 0.00389807 0.00392514 -0.000136146 0.0884489 0.0899824 0.0868883 0.259981 
0.48 2 0.446555 0.000791768 6.91668 1.94921 0.00387929 0.00149612 -1.42701e-05 0.0733172 0.0880838 0.0546998 0.783813 
0.5 0 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 
0.5 1 0.773753 1.23308e-05 7.14981 0.856984 0.00398452 0.0037629 -9.96315e-05 0.0880194 0.0896964 0.0863098 0.272188 
0.5 2 0.430646 0.000565272 6.91938 1.94993 0.00375287 0.00149648 -4.89717e-06 0.0724524 0.0866358 0.0547077 0.775402 
0.52 0 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 
0.52 1 0.777295 -0.000129132 7.14877 0.859285 0.00396596 0.00388836 -8.89e-05 0.0886246 0.0897124 0.0875233 0.219564 
0.52 2 0.408831 0.000607184 6.92074 1.95284 0.00383167 0.00132495 -1.28444e-05 0.0718096 0.0875413 0.0514758 0.808848 
0.54 0 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 
0.54 1 0.774919 -0.000147447 7.14738 0.864084 0.0039767 0.00388479 2.29374e-05 0.088665 0.0892424 0.0880839 0.160611 
0.54 2 0.377015 0.00118814 6.92462 1.95618 0.00369456 0.00110748 1.77578e-05 0.0692967 0.0859614 0.0470608 0.836829 
0.56 0 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 
0.56 1 0.773567 0.000115835 7.14469 0.868272 0.00380312 0.00407648 0.000104491 0.0887671 0.0906846 0.0868073 0.289279 
0.56 2 0.356534 0.000591209 6.9274 1.95881 0.00368006 0.000963592 -7.12874e-05 0.0681443 0.0858129 0.0438571 0.859534 
0.58 0 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 
0.58 1 0.772447 -0.000149833 7.14212 0.870431 0.00375899 0.00414502 6.53312e-05 0.0889045 0.0911678 0.0865821 0.313159 
0.58 2 0.342621 0.000337636 6.93038 1.95882 0.00347392 0.00095771 -6.73675e-06 0.0665705 0.0833539 0.0437651 0.851071 
0.6 0 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 
0.6 1 0.771385 0.000117257 7.13958 0.872353 0.00371298 0.00421166 -7.6426e-06 0.0890205 0.0917799 0.0861727 0.344176 
0.6 2 0.333271 0.000362344 6.9314 1.95924 0.00349018 0.000951257 -1.7813e-06 0.0666441 0.0835486 0.0436178 0.852906 
0.62 0 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 
0.62 1 0.78058 -0.000412359 7.13681 0.875566 0.00372129 0.00439739 -2.53167e-05 0.0901037 0.0937906 0.0862594 0.392617 
0.62 2 0.323623 0.00038623 6.93242 1.95967 0.00350495 0.000944584 2.76229e-06 0.0667048 0.0837251 0.0434645 0.854693 
0.64 0 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 
0.64 1 0.794784 -1.8588e-05 7.13497 0.878771 0.00383142 0.00453526 -2.6269e-05 0.0914695 0.0952495 0.0875264 0.39445 
0.64 2 0.313747 0.000409406 6.93344 1.96009 0.0035179 0.000937687 7.01697e-06 0.0667502 0.0838799 0.0433051 0.856423 
0.66 0 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 
0.66 1 0.79838 -0.000127015 7.13316 0.880547 0.00393445 0.00452688 -5.58971e-05 0.0919855 0.0952062 0.0886478 0.364727 
0.66 2 0.298489 0.000797621 6.93557 1.96144 0.00351716 0.000896503 -4.93874e-05 0.0664354 0.0838819 0.0423219 0.863387 
0.68 0 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 
0.68 1 0.805814 0.000136129 7.12918 0.882665 0.00421103 0.0044046 4.46981e-05 0.0928204 0.093962 0.0916647 0.219776 
