[1]t	 [2]tag	 [3]Gamma	 [4]mu_x	 [5]mu_y	 [6]mu_z	 [7]M20	 [8]M02	 [9]M11	 [10]a	 [11]b	 [12]c	 [13]e 
0.26 0 0.753625 6.50175 0.000769824 0.0984648 0.00375359 0.0035763 1.58972e-05 0.0856148 0.0866603 0.0845563 0.21902 
0.26 1 0.754805 7.50283 -1.17523e-05 0.00387231 0.00345429 0.00338862 1.56504e-05 0.0827218 0.0831604 0.0822809 0.145047 
0.28 0 0.769462 6.50195 -0.000288997 0.107405 0.0039063 0.00365843 1.27974e-05 0.0869755 0.0883964 0.0855309 0.252552 
0.28 1 0.752329 7.50282 -1.25882e-05 0.0040788 0.00346474 0.00339609 1.2774e-05 0.0828301 0.0832711 0.0823867 0.145358 
0.3 0 0.744983 6.50239 -0.000599254 0.113599 0.0037854 0.0034971 -2.77977e-05 0.0853376 0.0870409 0.0835996 0.278405 
0.3 1 0.74985 7.50281 -1.34155e-05 0.00427744 0.00347418 0.0034034 9.84047e-06 0.0829312 0.0833729 0.082487 0.145389 
0.32 0 0.743235 6.50231 -1.23919e-05 0.120648 0.00387295 0.00343273 3.81076e-06 0.0854732 0.0880111 0.0828576 0.337167 
0.32 1 0.747366 7.5028 -1.42398e-05 0.00446797 0.00348271 0.0034106 6.95192e-06 0.083026 0.0834671 0.0825825 0.145203 
0.34 0 0.741646 6.5035 5.67844e-06 0.129631 0.00378282 0.00354599 5.56308e-05 0.0856084 0.0871233 0.0840663 0.262574 
0.34 1 0.744877 7.50277 -1.50569e-05 0.00465039 0.00349046 0.0034177 4.18732e-06 0.0831154 0.0835548 0.0826736 0.144848 
0.36 0 0.756221 6.50428 0.000456413 0.13682 0.0039206 0.00367395 -1.64766e-05 0.0871467 0.0885629 0.0857071 0.251899 
0.36 1 0.748349 7.50195 0.000147678 0.00560348 0.00354781 0.00347292 -7.52064e-05 0.0837898 0.0847865 0.082781 0.21621 
0.38 0 0.765066 6.50333 0.000137525 0.143535 0.00396084 0.00377274 3.4641e-05 0.0879408 0.0890732 0.0867936 0.224788 
0.38 1 0.76328 7.49994 0.000296668 0.00765241 0.00369683 0.00361095 -0.000179262 0.0854856 0.0876154 0.0833014 0.309921 
0.4 0 0.757848 6.50324 -0.000308283 0.149845 0.00398026 0.00370212 -1.02096e-05 0.0876491 0.0892259 0.0860435 0.264691 
0.4 1 0.767004 7.4988 0.000142467 0.00795432 0.00382046 0.00359377 -0.000195657 0.0861059 0.0886931 0.0834386 0.339083 
0.42 0 0.750286 6.5062 -0.000135373 0.156888 0.00402712 0.00361267 3.52132e-05 0.0874059 0.0897785 0.084967 0.322977 
0.42 1 0.781911 7.4966 -5.04284e-06 0.00870225 0.00401452 0.0036668 -0.000150385 0.0876432 0.0902279 0.0849798 0.336076 
0.44 0 0.748341 6.50856 -0.000130894 0.164485 0.00404843 0.00358911 -3.93466e-06 0.087393 0.0899829 0.0847239 0.336856 
0.44 1 0.785381 7.49667 0.000135347 0.00983121 0.00400203 0.00377506 -0.000124987 0.0881878 0.0900818 0.0862523 0.288472 
0.46 0 0.757543 6.50662 0.000133521 0.172509 0.00408699 0.00374845 -4.39968e-05 0.088518 0.0904722 0.0865197 0.292348 
0.46 1 0.783507 7.49653 0.000137022 0.0100421 0.00401001 0.00378573 -0.000127326 0.0882935 0.0901947 0.0863504 0.288837 
0.48 0 0.766921 6.50587 -0.000124821 0.1808 0.00408485 0.00391231 -0.000110228 0.0894268 0.0909786 0.0878477 0.260085 
0.48 1 0.786987 7.49659 -2.33013e-06 0.0111573 0.00399606 0.00389065 -0.00010144 0.0888071 0.0900852 0.0875105 0.237369 
0.5 0 0.759529 6.50449 -3.48415e-05 0.186796 0.00399368 0.00391095 -2.56911e-05 0.088908 0.089454 0.0883586 0.156013 
0.5 1 0.785154 7.49644 -3.07726e-06 0.0113704 0.00400262 0.00390173 -0.000102743 0.0889064 0.0901846 0.0876095 0.237258 
0.52 0 0.756897 6.50741 -1.79544e-05 0.192981 0.00401234 0.00392844 3.0255e-05 0.089111 0.0896896 0.0885288 0.160366 
0.52 1 0.783306 7.49628 -3.82904e-06 0.0115785 0.00400877 0.00391239 -0.000103803 0.0890009 0.0902776 0.0877056 0.236999 
0.54 0 0.756002 6.50866 -0.000262849 0.201121 0.00418053 0.00378649 6.0107e-05 0.0892582 0.0915368 0.0869198 0.313582 
0.54 1 0.786894 7.49576 0.000137401 0.0126943 0.00400528 0.00401484 -0.000150805 0.0895551 0.0912243 0.0878542 0.2693 
0.56 0 0.75436 6.5098 1.11321e-05 0.209318 0.00407197 0.00391797 -6.56101e-05 0.0893865 0.0905111 0.0882475 0.222249 
0.56 1 0.785113 7.49558 0.000139193 0.0129092 0.00401057 0.00402588 -0.000151973 0.0896463 0.0913279 0.0879325 0.270137 
0.58 0 0.763456 6.50878 0.000288851 0.216057 0.00414619 0.00402212 -0.000174228 0.0903787 0.0924024 0.0883087 0.294351 
0.58 1 0.794326 7.4941 0.000143487 0.0143509 0.00410073 0.00411156 -0.000239906 0.0906217 0.0932321 0.0879338 0.332308 
0.6 0 0.772215 6.50883 -2.1669e-05 0.223863 0.00422743 0.00409795 -0.00016314 0.0912435 0.0931472 0.0892992 0.284458 
0.6 1 0.798223 7.49297 1.47422e-06 0.014904 0.00419711 0.00410905 -0.000282323 0.0911381 0.0942212 0.0879471 0.358809 
0.62 0 0.769035 6.50891 -1.81719e-05 0.228938 0.00417836 0.00415465 -3.20007e-05 0.0912853 0.0916584 0.0909107 0.127468 
0.62 1 0.796638 7.49273 7.19269e-07 0.0151325 0.00420328 0.00411918 -0.000283866 0.0912275 0.0943207 0.0880257 0.359201 
0.64 0 0.762173 6.50995 -0.000144329 0.237155 0.00414459 0.00411403 7.24169e-05 0.090877 0.0916878 0.0900589 0.187659 
0.64 1 0.795043 7.49249 -4.49035e-08 0.0153596 0.00420923 0.00412894 -0.000285153 0.0913136 0.0944145 0.0881036 0.359469 
0.66 0 0.74568 6.5114 1.32754e-05 0.244533 0.0040901 0.00396269 -5.41995e-06 0.0897374 0.090447 0.0890221 0.176809 
0.66 1 0.793437 7.49223 -8.33736e-07 0.0155861 0.004215 0.00413835 -0.000286203 0.0913966 0.0945032 0.0881807 0.359625 
0.68 0 0.754749 6.51125 3.09275e-05 0.253225 0.00405853 0.00418269 -0.000132868 0.0907812 0.0923825 0.0891511 0.262173 
0.68 1 0.79182 7.49197 -1.62285e-06 0.0158123 0.00422057 0.00414742 -0.000287012 0.0914767 0.0945867 0.0882571 0.359665 
