[1]t	 [2]j	 [3]Gamma	 [4]mu_x	 [5]mu_y	 [6]M20	 [7]M02	 [8]M11	 [9]a	 [10]b	 [11]c	 [12]e	 [13]maxvor 
0.95 0 -0.96393 -0.499939 0.00200934 0.00491842 0.00524614 -5.46851e-05 0.100819 0.102518 0.0990912 0.256406 -27.1964
0.95 1 0.963854 0.499928 0.00201384 0.00491634 0.00524637 5.50179e-05 0.10081 0.102521 0.0990698 0.25729 27.1963
1 0 -0.963718 -0.499945 0.00214372 0.00492538 0.00530671 -7.12334e-05 0.101154 0.103146 0.0991213 0.276627 -27.0002
1 1 0.963702 0.499946 0.00214663 0.00492534 0.00530665 7.12142e-05 0.101153 0.103146 0.0991208 0.27662 27.0001
1.05 0 -0.963385 -0.500005 0.00227731 0.00493457 0.00536092 -7.24285e-05 0.101467 0.103662 0.099223 0.289496 -26.8073
1.05 1 0.96337 0.500006 0.00228046 0.00493453 0.00536085 7.24249e-05 0.101466 0.103661 0.0992226 0.289486 26.8072
1.1 0 -0.963171 -0.499992 0.00230931 0.00494284 0.00542 -7.01578e-05 0.101798 0.104212 0.0993251 0.302645 -26.6164
1.1 1 0.963155 0.499993 0.00231278 0.00494282 0.00541991 7.0176e-05 0.101797 0.104212 0.0993248 0.302631 26.6163
1.15 0 -0.962591 -0.499985 0.00241686 0.00494655 0.00547276 -6.26657e-05 0.102075 0.104691 0.09939 0.314178 -26.4292
1.15 1 0.962576 0.499986 0.00242077 0.00494652 0.00547266 6.27035e-05 0.102074 0.10469 0.0993897 0.314165 26.4291
1.2 0 -0.962437 -0.499979 0.00245015 0.00496486 0.0055224 -4.8856e-05 0.102407 0.105135 0.0996053 0.320031 -26.2441
1.2 1 0.962421 0.499981 0.0024546 0.00496483 0.00552231 4.89131e-05 0.102407 0.105134 0.0996049 0.320023 26.244
1.25 0 -0.962409 -0.499992 0.00260824 0.00498913 0.00556918 -2.63813e-05 0.102754 0.10555 0.0998792 0.323358 -26.0632
1.25 1 0.962394 0.499994 0.0026131 0.0049891 0.00556909 2.64598e-05 0.102753 0.105549 0.0998788 0.32335 26.0632
1.3 0 -0.962263 -0.499959 0.00277259 0.00501706 0.00560833 -1.1375e-05 0.10308 0.105911 0.100168 0.324808 -25.8852
1.3 1 0.962248 0.499961 0.00277786 0.00501702 0.00560825 1.14845e-05 0.103079 0.10591 0.100168 0.324804 25.8852
1.35 0 -0.961993 -0.499963 0.0028703 0.00505586 0.00563102 -1.29501e-07 0.103377 0.106123 0.100557 0.319596 -25.7092
1.35 1 0.961978 0.499966 0.00287602 0.00505579 0.00563097 2.66737e-07 0.103377 0.106122 0.100556 0.319602 25.7092
1.4 0 -0.961781 -0.499946 0.00297795 0.00509345 0.00565707 7.23041e-06 0.103685 0.106369 0.100929 0.315694 -25.5359
1.4 1 0.961767 0.499949 0.00298414 0.00509334 0.00565706 -7.07564e-06 0.103684 0.106369 0.100928 0.315719 25.5359
1.45 0 -0.961513 -0.499914 0.00307085 0.00513137 0.00568079 1.42318e-05 0.103982 0.106594 0.101302 0.311188 -25.365
1.45 1 0.961498 0.499917 0.00307753 0.00513123 0.00568083 -1.40682e-05 0.103981 0.106594 0.1013 0.311235 25.3651
1.5 0 -0.961433 -0.499916 0.00317111 0.00517174 0.00570786 1.81766e-05 0.104305 0.10685 0.101697 0.306809 -25.1968
1.5 1 0.961419 0.49992 0.00317827 0.00517155 0.00570794 -1.80172e-05 0.104305 0.106851 0.101695 0.30688 25.1968
1.55 0 -0.96111 -0.499907 0.00328149 0.00520543 0.00573448 2.1745e-05 0.104594 0.107102 0.102025 0.304228 -25.0311
1.55 1 0.961096 0.499911 0.00328917 0.00520519 0.00573462 -2.1607e-05 0.104594 0.107103 0.102023 0.304324 25.0311
1.6 0 -0.960789 -0.499906 0.00334751 0.00524096 0.00575882 1.54279e-05 0.10488 0.107325 0.102377 0.300127 -24.8672
1.6 1 0.960775 0.499911 0.00335578 0.00524069 0.005759 -1.53279e-05 0.104879 0.107326 0.102374 0.300251 24.8673
1.65 0 -0.960529 -0.499873 0.00342897 0.00527579 0.00578608 1.63351e-05 0.105175 0.107579 0.102716 0.297264 -24.7059
1.65 1 0.960515 0.499878 0.0034379 0.00527548 0.00578629 -1.62913e-05 0.105175 0.107581 0.102713 0.297406 24.7059
1.7 0 -0.960024 -0.499855 0.00350318 0.00530215 0.00581447 1.20256e-05 0.105435 0.10784 0.102974 0.296992 -24.5467
1.7 1 0.96001 0.499861 0.00351272 0.00530183 0.00581469 -1.20435e-05 0.105435 0.107842 0.102971 0.297144 24.5468
1.75 0 -0.95995 -0.499869 0.00365876 0.00533391 0.00585086 3.38808e-06 0.105758 0.108175 0.103285 0.297258 -24.3909
1.75 1 0.959936 0.499874 0.00366905 0.00533359 0.00585108 -3.47192e-06 0.105758 0.108177 0.103282 0.297406 24.391
1.8 0 -0.959698 -0.499904 0.00376488 0.00536283 0.00588445 -6.61158e-06 0.106053 0.108485 0.103564 0.297778 -24.2366
1.8 1 0.959684 0.49991 0.00377598 0.00536253 0.00588464 6.46406e-06 0.106053 0.108487 0.103561 0.29791 24.2367
1.85 0 -0.959385 -0.4999 0.00384608 0.00539404 0.00591357 -1.13327e-05 0.106337 0.108755 0.103863 0.296537 -24.084
1.85 1 0.959371 0.499906 0.00385808 0.00539378 0.00591372 1.11251e-05 0.106337 0.108756 0.103861 0.296644 24.0841
1.9 0 -0.958827 -0.499889 0.0039308 0.00541364 0.00594724 -1.43435e-05 0.106587 0.109065 0.10405 0.299744 -23.9368
1.9 1 0.958813 0.499895 0.00394377 0.00541343 0.00594733 1.40912e-05 0.106587 0.109066 0.104049 0.299817 23.9353
1.95 0 -0.958574 -0.499904 0.00407241 0.00543969 0.00598386 -1.64245e-05 0.106881 0.109402 0.1043 0.301824 -23.782
1.95 1 0.95856 0.499911 0.00408635 0.00543955 0.00598388 1.61416e-05 0.10688 0.109402 0.104298 0.30186 23.7816
2 0 -0.958076 -0.499904 0.00420291 0.00546203 0.00601622 -1.83582e-05 0.107137 0.109698 0.104512 0.303823 -23.6324
2 1 0.958061 0.499911 0.00421785 0.00546195 0.00601616 1.80641e-05 0.107136 0.109697 0.104512 0.30382 23.6321
2.05 0 -0.957945 -0.499894 0.00431736 0.00549091 0.00605357 -1.95887e-05 0.107445 0.110039 0.104788 0.305224 -23.4854
2.05 1 0.957931 0.499901 0.00433337 0.00549089 0.00605344 1.93017e-05 0.107445 0.110037 0.104788 0.305186 23.4851
2.1 0 -0.95788 -0.499877 0.00436827 0.00551525 0.00609821 -2.12502e-05 0.107766 0.110444 0.105019 0.309575 -23.3412
2.1 1 0.957866 0.499884 0.00438542 0.0055153 0.006098 2.09818e-05 0.107765 0.110442 0.10502 0.309502 23.3409
2.15 0 -0.958063 -0.499852 0.00443847 0.00554745 0.00614242 -2.48632e-05 0.10812 0.110846 0.105322 0.311743 -23.1987
2.15 1 0.95811 0.49985 0.00446658 0.00554838 0.00614329 2.32757e-05 0.108128 0.110853 0.105333 0.311641 23.1983
2.2 0 -0.958004 -0.499841 0.00454925 0.00557679 0.00618154 -2.17803e-05 0.108436 0.111196 0.105603 0.313165 -23.0576
2.2 1 0.95799 0.499847 0.00456848 0.00557694 0.0061812 2.15968e-05 0.108435 0.111193 0.105605 0.313043 23.0573
2.25 0 -0.958072 -0.499774 0.00466048 0.00560835 0.00622238 -1.88703e-05 0.108769 0.111561 0.105903 0.314415 -22.9184
2.25 1 0.957935 0.499781 0.00470322 0.00560761 0.00621882 1.86283e-05 0.108749 0.111529 0.105897 0.31378 22.918
2.3 0 -0.957715 -0.4998 0.00476924 0.00563456 0.0062545 -1.63083e-05 0.109037 0.111848 0.106152 0.315041 -22.781
2.3 1 0.9577 0.49981 0.00481433 0.00563548 0.00625332 1.83242e-05 0.109036 0.111838 0.10616 0.31459 22.7805
