[1]t	 [2]j	 [3]Gamma	 [4]mu_x	 [5]mu_y	 [6]M20	 [7]M02	 [8]M11	 [9]a	 [10]b	 [11]c	 [12]e 
0.45 1 143.175 -1.18983 -0.910924 0.0894779 0.0846846 0.000695945 0.417328 0.423266 0.411304 0.236053 
0.45 2 -1.25658 3.1693 -1.60573 0.00961672 0.0194274 0.0101988 0.170423 0.227329 0.0800616 0.935931 
0.45 3 -19.8222 3.48716 1.33408 0.283682 0.3807 -0.225075 0.815096 1.0606 0.451548 0.904841 
0.45 4 115.406 2.06999 1.08833 0.0825762 0.0807704 0.00179047 0.404162 0.409093 0.399169 0.218923 
0.5 0 143.195 -1.05298 -1.05432 0.0904744 0.0891469 0.00488618 0.423817 0.435297 0.412018 0.322637 
0.5 1 -1.1463 -0.46659 -2.15004 0.0725735 0.0361152 0.0487846 0.32968 0.461353 0.067308 0.9893 
0.5 2 -0.921901 3.3898 -1.33381 0.00765434 0.0147756 0.00807871 0.149766 0.200217 0.0690853 0.938584 
0.5 3 115.537 1.90669 1.34357 0.0847385 0.0837651 0.00412321 0.410492 0.420485 0.40025 0.306478 
0.5 4 -0.111525 1.48473 2.42223 0.00152576 0.00152576 0.00152576 0.0552405 0.0781218 0 1 
0.5 5 -17.4161 3.42284 1.83365 0.20098 0.30603 -0.193771 0.712046 0.953172 0.324779 0.940159 
0.55 0 143.217 -0.908193 -1.16926 0.0903294 0.0942752 0.00237692 0.429656 0.436787 0.422406 0.254491 
0.55 1 -0.715904 3.58736 -1.00335 0.00633996 0.0140651 0.00765279 0.142846 0.193778 0.0571003 0.955599 
0.55 2 115.3 1.71781 1.57446 0.0839847 0.0881415 0.0035183 0.414881 0.424616 0.404912 0.301093 
0.55 3 -15.7819 3.24617 2.30742 0.196898 0.24573 -0.181292 0.665303 0.899158 0.277076 0.951338 
0.6 0 143.499 -0.762173 -1.26512 0.0951029 0.0952605 0.00281755 0.436307 0.44272 0.429798 0.23984 
0.6 1 -0.580473 3.72685 -0.688244 0.00336668 0.00961639 0.0033641 0.113943 0.148883 0.0616446 0.910255 
0.6 2 115.265 1.50625 1.7764 0.0862799 0.0899294 0.00251273 0.419773 0.427107 0.412309 0.260947 
0.6 3 -14.5225 3.00623 2.74495 0.17987 0.187117 -0.156118 0.605794 0.824201 0.233808 0.958919 
0.65 0 143.492 -0.612516 -1.34463 0.0954715 0.0997437 0.0034439 0.441832 0.450911 0.432562 0.282361 
0.65 1 -0.346275 3.82835 -0.390163 0.00152583 0.00555089 0.0015275 0.0841232 0.110136 0.0449843 0.912783 
0.65 2 115.431 1.27258 1.94931 0.0880292 0.093003 0.00270617 0.425479 0.434031 0.416751 0.279356 
0.65 3 -13.2307 2.70971 3.1459 0.167834 0.139808 -0.132094 0.554655 0.757174 0.204871 0.9627 
0.7 0 143.313 -0.459301 -1.41077 0.0975565 0.101645 0.00174029 0.44632 0.452295 0.440264 0.229112 
0.7 1 -0.226696 3.90611 -0.039421 0.00152586 0.00304998 0.001525 0.0676449 0.0893614 0.03415 0.924098 
0.7 2 115.354 1.02458 2.08812 0.088559 0.0963902 0.00231472 0.430057 0.440507 0.419347 0.306208 
0.7 3 -12.2742 2.34492 3.51061 0.170564 0.0987422 -0.109856 0.518947 0.707431 0.195328 0.961126 
0.75 0 143.771 -0.300217 -1.46145 0.0999467 0.105298 0.00246082 0.453039 0.460994 0.444943 0.261576 
0.75 1 115.78 0.767335 2.19511 0.0911664 0.0992419 0.00124418 0.436358 0.445936 0.426565 0.291525 
