1.00    nan nan nan nan nan nan         nan          
0.95    nan nan nan nan nan nan         nan
0.90    nan nan nan nan nan nan         nan
0.85    nan nan nan nan nan nan         nan
0.80    nan nan nan nan nan nan         nan
0.75    nan nan nan nan nan nan         nan
0.70    nan nan nan nan nan nan         nan
0.65    nan nan nan nan nan nan         nan
0.60    nan nan nan nan nan nan         nan
0.55    nan nan nan nan nan nan         nan
0.50    nan nan nan nan nan nan         nan
0.45    nan nan nan nan nan nan         nan
0.40    nan nan nan nan nan nan         nan
0.35    nan nan nan nan nan nan         nan
0.30    nan nan nan nan nan nan         nan
0.25    nan nan nan nan nan nan         nan
0.20    nan nan nan nan nan nan         nan
0.15    nan nan nan nan nan nan         nan
0.10    nan nan nan nan nan nan         nan
0.05    nan nan nan nan nan nan         nan
0.00    nan nan nan nan nan nan         nan 
