[1]t	 [2]j	 [3]Gamma	 [4]mu_x	 [5]mu_y	 [6]M20	 [7]M02	 [8]M11	 [9]a	 [10]b	 [11]c	 [12]e 
0.45 4 -0.337655 1.18516 0.780146 0.00339463 0.0177556 -0.00711576 0.145431 0.203392 0.0305303 0.98867 
0.45 5 -0.1103 1.13281 1.32817 -0 0.00152588 -0 0.0390625 0.0552427 0 1 
0.45 6 117.499 2.07258 1.09135 0.0788345 0.076574 0.00201034 0.394219 0.400026 0.388324 0.240104 
0.5 0 -2.60175 -0.469273 -2.08732 0.164647 0.0893521 0.11373 0.503983 0.702566 0.12 0.985305 
0.5 1 145.419 -1.0449 -1.05427 0.0830576 0.0866971 0.00500178 0.412013 0.424735 0.398886 0.343535 
0.5 2 -1.62273 3.40454 -1.33664 0.010406 0.0230516 0.0110225 0.182914 0.242636 0.0896834 0.929182 
0.5 3 117.523 1.90749 1.34894 0.0791748 0.0794863 0.0034695 0.398323 0.406949 0.389506 0.289629 
0.5 4 -19.0427 3.36675 1.86494 0.257098 0.305894 -0.205166 0.750328 0.988036 0.386998 0.9201 
0.55 0 145.771 -0.901243 -1.16398 0.0877119 0.0863907 0.000269061 0.417256 0.418962 0.415543 0.127495 
0.55 1 -1.19351 0.169538 -1.72139 0.0272725 0.128501 0.0556262 0.394682 0.553343 0.0732113 0.991209 
0.55 2 -1.52211 3.60245 -1.00497 0.0107155 0.0222235 0.011329 0.181491 0.241561 0.0867527 0.933286 
0.55 3 118.016 1.71795 1.58305 0.079825 0.0833089 0.00262161 0.403898 0.411618 0.396029 0.272599 
0.55 4 -0.0561572 1.28906 2.77344 4.93038e-32 -0 -0 2.22045e-16 3.14018e-16 0 1 
0.55 5 -17.2843 3.19914 2.34746 0.202691 0.23234 -0.171721 0.659569 0.883035 0.300519 0.940308 
0.6 0 146.154 -0.756368 -1.25626 0.088545 0.0906011 0.00504921 0.423257 0.435261 0.410902 0.329839 
0.6 1 -0.503266 0.343218 -0.482178 0.00599112 0.0135133 -0.00787561 0.139658 0.192249 0.0452678 0.971883 
0.6 2 -1.37937 3.72931 -0.713478 0.00911201 0.0199648 0.00948726 0.170519 0.22569 0.0849579 0.926442 
0.6 3 118.005 1.50144 1.78741 0.0821671 0.0839125 0.00209384 0.407529 0.413057 0.401924 0.230612 
