[1]t	 [2]j	 [3]Gamma	 [4]mu_x	 [5]mu_y	 [6]M20	 [7]M02	 [8]M11	 [9]a	 [10]b	 [11]c	 [12]e 
2.1 0 0.961747 -0.402234 -0.297242 0.0048861 0.00473255 0.000211268 0.0980747 0.100341 0.0957553 0.29884 
2.1 1 0.961891 0.401825 0.297036 0.00489248 0.0047337 0.000212665 0.0981131 0.1004 0.0957715 0.300129 
2.2 0 0.961578 -0.393093 -0.309354 0.00488216 0.00477057 0.000222369 0.0982483 0.100555 0.0958864 0.301157 
2.2 1 0.961594 0.392691 0.309131 0.00488334 0.00477309 0.000221399 0.0982671 0.100562 0.0959172 0.300409 
2.3 0 0.961109 -0.383481 -0.321065 0.00488395 0.00479438 0.000227879 0.0983785 0.100711 0.0959888 0.302634 
2.3 1 0.961437 0.383046 0.320827 0.00489049 0.00480041 0.000228506 0.0984424 0.10078 0.0960474 0.302859 
2.4 0 0.961378 -0.373483 -0.332586 0.00488273 0.00484087 0.000227313 0.0986083 0.100897 0.0962655 0.299489 
2.4 1 0.961404 0.373065 0.332343 0.00488612 0.00484163 0.000227534 0.0986293 0.100921 0.0962835 0.299644 
2.5 0 0.961331 -0.363286 -0.343752 0.00489276 0.00486761 0.000226365 0.0987946 0.101063 0.0964725 0.297972 
2.5 1 0.961293 0.362849 0.343497 0.00489528 0.00486736 0.000225058 0.0988061 0.101062 0.0964969 0.29717 
2.6 0 0.961364 -0.352731 -0.354685 0.00489841 0.004901 0.000226806 0.0989919 0.101257 0.0966736 0.297464 
2.6 1 0.961261 0.352244 0.354386 0.00489525 0.00490463 0.000224625 0.0989943 0.101238 0.0966981 0.296116 
2.7 0 0.960899 -0.341718 -0.365147 0.00489717 0.00492744 0.000227607 0.0991191 0.101394 0.0967904 0.297912 
2.7 1 0.960867 0.34126 0.364854 0.00489969 0.00492739 0.000226943 0.0991317 0.101399 0.0968109 0.297411 
2.8 0 0.961108 -0.330571 -0.375416 0.00490715 0.00496187 0.000229492 0.0993429 0.101643 0.0969886 0.299136 
2.8 1 0.960947 0.33006 0.375076 0.004906 0.00496141 0.000223933 0.0993348 0.101581 0.0970367 0.295751 
2.9 0 0.960466 -0.318979 -0.385326 0.00490635 0.0049823 0.000225092 0.0994417 0.101711 0.097119 0.29709 
2.9 1 0.960366 0.318501 0.385002 0.00490768 0.00498152 0.000225366 0.0994445 0.101715 0.0971209 0.297143 
3 0 0.960623 -0.307188 -0.394812 0.00491904 0.00501233 0.000225118 0.0996563 0.101937 0.097322 0.297487 
3 1 0.960825 0.306691 0.394452 0.00492039 0.00502081 0.000230917 0.0997056 0.102048 0.0973066 0.301279 
3.1 0 0.960751 -0.295058 -0.403942 0.00491839 0.00505568 0.000226712 0.0998703 0.102215 0.0974696 0.301147 
3.1 1 0.960589 0.294526 0.403572 0.00491849 0.00505435 0.000228123 0.0998641 0.10222 0.0974515 0.301859 
3.2 0 0.960604 -0.282717 -0.412711 0.0049197 0.00508836 0.000222853 0.10004 0.102394 0.0976295 0.301504 
3.2 1 0.960373 0.282211 0.412332 0.00491734 0.00508755 0.000223213 0.100024 0.102385 0.0976069 0.30192 
3.3 0 0.960699 -0.270037 -0.42112 0.00492815 0.00512101 0.000222325 0.100245 0.102634 0.0977982 0.303352 
3.3 1 0.96047 0.269525 0.42075 0.00492399 0.00512193 0.000220954 0.100229 0.102616 0.097784 0.30326 
3.4 0 0.960213 -0.25715 -0.429118 0.00491853 0.0051551 0.000212489 0.100367 0.102762 0.0979144 0.303511 
3.4 1 0.960594 0.256581 0.428693 0.00492905 0.00515885 0.000214392 0.100439 0.102832 0.0979868 0.303334 
3.5 0 0.960304 -0.244096 -0.436773 0.00493381 0.00518024 0.000209502 0.100569 0.102957 0.0981221 0.302845 
3.5 1 0.960065 0.243461 0.4363 0.00492993 0.00518108 0.000209955 0.100553 0.102958 0.0980904 0.303835 
3.6 0 0.959968 -0.230697 -0.44397 0.00493302 0.00520967 0.000204211 0.100711 0.103131 0.0982313 0.304566 
3.6 1 0.960091 0.230152 0.443512 0.00493499 0.00521487 0.000202455 0.100746 0.10316 0.0982733 0.304147 
3.7 0 0.960173 -0.217133 -0.450737 0.00493508 0.00525186 0.000192277 0.10093 0.103369 0.0984312 0.305378 
3.7 1 0.96018 0.216541 0.450262 0.00493973 0.00525066 0.000191483 0.100947 0.103362 0.0984738 0.303883 
3.8 0 0.959643 -0.203411 -0.457181 0.00493539 0.00527494 0.000188648 0.101046 0.103527 0.0985025 0.307762 
3.8 1 0.959644 0.202754 0.456669 0.00493332 0.00528081 0.000188904 0.101065 0.103573 0.0984927 0.309356 
3.9 0 0.959924 -0.189461 -0.463136 0.0049514 0.00530474 0.000180324 0.101273 0.103735 0.0987484 0.306329 
3.9 1 0.959805 0.188911 0.46264 0.0049519 0.00530368 0.000176976 0.10127 0.103704 0.0987752 0.304637 
4 0 0.959752 -0.175332 -0.468653 0.004961 0.00532799 0.00016846 0.101435 0.103861 0.0989485 0.30392 
4 1 0.959703 0.17476 0.468098 0.00496056 0.00532992 0.000166989 0.101442 0.103867 0.0989572 0.303831 
4.1 0 0.959603 -0.161068 -0.473746 0.00496066 0.00536272 0.000158406 0.101604 0.104093 0.099053 0.307384 
4.1 1 0.959498 0.160476 0.473204 0.0049613 0.0053616 0.000160135 0.101602 0.104094 0.0990467 0.307612 
4.2 0 0.959662 -0.146645 -0.478473 0.00496579 0.00539832 0.000148227 0.101804 0.104348 0.0991954 0.310351 
4.2 1 0.959507 0.14599 0.47783 0.00496733 0.00539382 0.000142451 0.10179 0.104279 0.0992384 0.307139 
4.3 0 0.95883 -0.13208 -0.482671 0.00496546 0.00541234 0.00013674 0.101872 0.104411 0.0992667 0.310028 
4.3 1 0.958927 0.131424 0.482078 0.0049675 0.00541504 0.000136638 0.101895 0.104436 0.0992882 0.310089 
4.4 0 0.959038 -0.117444 -0.486531 0.00497477 0.00544742 0.000120549 0.102089 0.104656 0.0994565 0.311268 
4.4 1 0.959069 0.116789 0.485896 0.00497046 0.00545497 0.000122311 0.102105 0.104729 0.0994116 0.314597 
4.5 0 0.958819 -0.102658 -0.489804 0.0049921 0.00546055 0.000108153 0.102238 0.104731 0.0996828 0.306729 
4.5 1 0.958861 0.102035 0.489171 0.0049884 0.00546765 0.000112424 0.102255 0.104811 0.0996327 0.310447 
4.6 0 0.959454 -0.087795 -0.492759 0.00500425 0.00550612 9.51689e-05 0.10252 0.105105 0.099868 0.311729 
4.6 1 0.959066 0.0871818 0.492062 0.00499852 0.00550153 9.11918e-05 0.10247 0.105048 0.0998248 0.311405 
4.7 0 0.959172 -0.0728027 -0.495135 0.00501596 0.00552367 8.00744e-05 0.102663 0.105224 0.100036 0.310105 
4.7 1 0.959101 0.0721885 0.494422 0.00501304 0.00552564 7.95367e-05 0.102658 0.10524 0.10001 0.311321 
4.8 0 0.958516 -0.0577966 -0.497176 0.00502266 0.00553499 5.86767e-05 0.10275 0.105277 0.10016 0.30797 
4.8 1 0.958685 0.0571572 0.496387 0.0050242 0.00553957 6.24726e-05 0.10278 0.105328 0.100167 0.309195 
4.9 0 0.95873 -0.0427445 -0.498706 0.00503678 0.00556565 5.20672e-05 0.102968 0.105553 0.100317 0.311062 
4.9 1 0.958523 0.0421002 0.497963 0.00503555 0.00556112 4.8611e-05 0.10294 0.105504 0.10031 0.309894 
5 0 0.958817 -0.0275604 -0.499802 0.0050502 0.00559295 3.29823e-05 0.103166 0.105782 0.100481 0.312603 
5 1 0.958795 0.0269642 0.499029 0.00505149 0.00559148 3.44701e-05 0.103165 0.10577 0.100492 0.311958 
5.1 0 0.958602 -0.0124065 -0.500405 0.00506288 0.00561163 1.41109e-05 0.103318 0.105943 0.100623 0.312907 
5.1 1 0.958755 0.0117623 0.499606 0.00506844 0.00561098 1.86837e-05 0.103341 0.10594 0.100676 0.311305 
5.2 0 0.958506 0.00276366 -0.500525 0.00507893 0.0056303 2.05478e-07 0.103485 0.106116 0.100786 0.312938 
5.2 1 0.95841 -0.00333542 0.499742 0.00507778 0.00562939 -4.27638e-06 0.103475 0.106108 0.100774 0.313046 
5.3 0 0.958288 0.0179023 -0.500225 0.00509214 0.00564838 -2.0209e-05 0.103636 0.106293 0.10091 0.314205 
5.3 1 0.958246 -0.018513 0.499403 0.0050944 0.00564544 -1.85668e-05 0.103633 0.106264 0.100933 0.31276 
5.4 0 0.957818 0.0330977 -0.499519 0.00510498 0.00565894 -3.40009e-05 0.103749 0.106405 0.101024 0.313989 
5.4 1 0.958075 -0.0336816 0.498632 0.00510557 0.00566754 -3.37337e-05 0.103794 0.106485 0.10103 0.315962 
5.5 0 0.958324 0.0480994 -0.498222 0.00512792 0.00568949 -5.39856e-05 0.104007 0.10672 0.10122 0.316892 
5.5 1 0.958216 -0.0487308 0.497291 0.00512495 0.00569023 -5.04292e-05 0.103996 0.106721 0.101198 0.317539 
5.6 0 0.958107 0.0631997 -0.496515 0.00514433 0.00570407 -6.24346e-05 0.104156 0.106873 0.101365 0.316894 
5.6 1 0.957996 -0.0637782 0.495584 0.00514569 0.0056998 -6.2969e-05 0.104142 0.106835 0.101377 0.315548 
5.7 0 0.957955 0.0781512 -0.494327 0.00517309 0.00570737 -8.63034e-05 0.104309 0.106967 0.101582 0.313277 
5.7 1 0.957783 -0.0787758 0.493428 0.005172 0.00570354 -8.6901e-05 0.104286 0.106934 0.101569 0.31275 
5.8 0 0.957738 0.0931358 -0.491798 0.00519409 0.00571726 -0.000105865 0.104457 0.107125 0.10172 0.313626 
5.8 1 0.958052 -0.0936913 0.490805 0.00519558 0.00572599 -0.000103796 0.104506 0.107197 0.101745 0.314857 
5.9 0 0.957634 0.10796 -0.488725 0.00520827 0.00573858 -0.000119505 0.104627 0.107371 0.101809 0.317665 
