[1]t	 [2]j	 [3]Gamma	 [4]mu_x	 [5]mu_y	 [6]M20	 [7]M02	 [8]M11	 [9]a	 [10]b	 [11]c	 [12]e	 [13]maxvor 
0.95 1 0.957407 0.479484 0.141795 0.00534814 0.00503462 9.24915e-05 0.101896 0.103667 0.100094 0.260281 26.3324
1 0 0.957406 -0.477424 -0.148895 0.00541312 0.0050543 7.99705e-05 0.10231 0.104213 0.100372 0.268971 26.0997
1 1 0.957145 0.477248 0.14912 0.00541229 0.00505218 8.10772e-05 0.102296 0.104208 0.100347 0.269696 26.0859
1.05 0 0.956988 -0.47511 -0.156107 0.00547221 0.00507247 8.38278e-05 0.102687 0.104777 0.100555 0.281016 25.8805
1.05 1 0.956846 0.474934 0.156322 0.00547257 0.00507281 8.4265e-05 0.102691 0.104782 0.100556 0.281117 25.8693
1.1 0 0.956671 -0.472701 -0.163266 0.00552819 0.00509692 9.4434e-05 0.103078 0.105337 0.100769 0.291312 25.6905
1.1 1 0.956589 0.472451 0.163533 0.00553159 0.00509627 9.30727e-05 0.103092 0.105363 0.100769 0.292054 25.6741
1.15 0 0.956439 -0.470136 -0.170381 0.00558814 0.00512016 0.000110983 0.103481 0.105954 0.100947 0.303767 25.453
1.15 1 0.956109 0.469931 0.170664 0.00558759 0.00511613 0.000110459 0.103459 0.105945 0.100911 0.304584 25.4377
1.2 0 0.955817 -0.467564 -0.177512 0.00564268 0.00513759 0.00012971 0.103828 0.106527 0.101057 0.316342 25.2492
1.2 1 0.955852 0.467349 0.177785 0.00564284 0.00514352 0.000128206 0.103857 0.106525 0.101119 0.314529 25.2345
1.25 0 0.95528 -0.464791 -0.184555 0.00568357 0.00516992 0.000155968 0.10418 0.107025 0.101255 0.323929 25.0763
1.25 1 0.955312 0.46455 0.184813 0.00568775 0.00517239 0.000155741 0.104212 0.107062 0.101282 0.324145 25.057
1.3 0 0.954842 -0.46197 -0.191555 0.00572714 0.00520281 0.000176555 0.104546 0.107527 0.101478 0.330679 24.8558
1.3 1 0.955117 0.461683 0.191871 0.00573072 0.0052128 0.000173225 0.104611 0.107548 0.101589 0.328243 24.8368
1.35 0 0.954906 -0.458924 -0.198514 0.00576711 0.00525319 0.000193372 0.104978 0.107998 0.101868 0.332101 24.6534
1.35 1 0.954632 0.458664 0.198854 0.00576932 0.005249 0.000197338 0.104968 0.108034 0.10181 0.33453 24.6474
1.4 0 0.9543 -0.45596 -0.205473 0.00579255 0.0052979 0.000224644 0.105311 0.108437 0.102089 0.337133 24.4546
1.4 1 0.954143 0.455687 0.205759 0.00578867 0.00530219 0.000223504 0.105313 0.108404 0.102128 0.335319 24.4412
1.45 0 0.954065 -0.452774 -0.212296 0.00582992 0.00534196 0.000239694 0.105697 0.108885 0.10241 0.339695 24.2392
1.45 1 0.954028 0.452456 0.2126 0.00583192 0.00534486 0.00024072 0.10572 0.108911 0.10243 0.339812 24.2288
1.5 0 0.953588 -0.449473 -0.21916 0.0058543 0.0053905 0.00025663 0.106042 0.109255 0.102728 0.340452 24.0713
1.5 1 0.953491 0.449175 0.219451 0.00585616 0.00539149 0.000255779 0.106055 0.109265 0.102745 0.340255 24.0618
1.55 0 0.953518 -0.446089 -0.225975 0.00588737 0.00544285 0.000265865 0.106444 0.109651 0.103137 0.339539 23.8615
1.55 1 0.953118 0.44579 0.226291 0.00588337 0.0054404 0.000268288 0.106413 0.109634 0.103092 0.340261 23.8469
1.6 0 0.952806 -0.4426 -0.232674 0.00589969 0.00549497 0.000282026 0.106746 0.109949 0.103443 0.3389 23.6955
1.6 1 0.952527 0.442281 0.23298 0.00589884 0.00549305 0.000282211 0.106733 0.109941 0.103425 0.339152 23.6845
1.65 0 0.953061 -0.439048 -0.23936 0.00594035 0.00554954 0.000286646 0.107191 0.11038 0.103904 0.337482 23.5138
1.65 1 0.95272 0.438709 0.239713 0.00593685 0.00554798 0.000285438 0.107167 0.110343 0.103895 0.336842 23.4966
1.7 0 0.952292 -0.435323 -0.245996 0.00595453 0.00559734 0.000293373 0.10748 0.110629 0.104235 0.335041 23.3491
1.7 1 0.952137 0.435013 0.246322 0.00595551 0.00559739 0.000293114 0.107484 0.110634 0.10424 0.335038 23.3384
1.75 0 0.951863 -0.431581 -0.252594 0.00598473 0.00564052 0.000296508 0.10782 0.110955 0.104592 0.333756 23.1569
1.75 1 0.951834 0.431194 0.252945 0.00599192 0.00563869 0.000297386 0.107845 0.111006 0.104589 0.335076 23.1462
1.8 0 0.951898 -0.427671 -0.259102 0.00601662 0.00569624 0.000302284 0.108226 0.111342 0.105017 0.332238 22.9772
1.8 1 0.95132 0.427252 0.259443 0.0060018 0.00569792 0.000303416 0.108165 0.111258 0.104981 0.33114 22.9695
1.85 0 0.951381 -0.423704 -0.265501 0.00604464 0.0057384 0.000307164 0.10855 0.111667 0.10534 0.331809 22.8035
1.85 1 0.951532 0.42332 0.265865 0.00604872 0.00574503 0.00030653 0.108599 0.111705 0.105402 0.331148 22.7897
1.9 0 0.950918 -0.419644 -0.271963 0.00607294 0.00578182 0.000311816 0.10888 0.111996 0.105672 0.331271 22.6424
1.9 1 0.95095 0.419242 0.272334 0.00607054 0.00579029 0.000306537 0.108907 0.111959 0.105767 0.327955 22.6325
1.95 0 0.951005 -0.415489 -0.278278 0.00610974 0.00583506 0.000319087 0.109292 0.112426 0.106066 0.331566 22.4806
1.95 1 0.950611 0.415053 0.278675 0.00610854 0.00582948 0.000320333 0.109261 0.112414 0.106015 0.332563 22.4642
2 0 0.950306 -0.411248 -0.284556 0.00613032 0.00587735 0.00031872 0.10958 0.112665 0.106404 0.328719 22.33
2 1 0.950033 0.410813 0.284973 0.00612685 0.00587766 0.000318815 0.109565 0.112646 0.106395 0.328485 22.3277
2.05 0 0.949986 -0.406852 -0.290786 0.00617055 0.00591377 0.000325882 0.109929 0.11307 0.106695 0.331038 22.1459
2.05 1 0.949958 0.406452 0.291157 0.00616993 0.00591925 0.00032502 0.109951 0.113075 0.106736 0.330121 22.1359
2.1 0 0.949759 -0.40243 -0.296975 0.00620484 0.00595894 0.00032982 0.11029 0.113436 0.10705 0.330784 22.0068
2.1 1 0.949735 0.401923 0.29735 0.00620836 0.00596062 0.000330424 0.110313 0.113467 0.107066 0.331111 21.9924
2.15 0 0.949148 -0.397834 -0.302911 0.00623167 0.00599843 0.000338837 0.11059 0.113784 0.107301 0.332735 21.831
2.15 1 0.948996 0.397386 0.303335 0.00622962 0.00600194 0.00034327 0.110596 0.113819 0.107277 0.334164 21.8209
2.2 0 0.949068 -0.393156 -0.308939 0.00626727 0.00604779 0.000352495 0.110973 0.114252 0.107595 0.336347 21.701
2.2 1 0.948858 0.392679 0.309307 0.00625961 0.00605387 0.000350517 0.110966 0.114211 0.107624 0.334695 21.6832
2.25 0 0.94869 -0.388481 -0.314915 0.0062993 0.00608974 0.000358337 0.111306 0.114611 0.1079 0.337175 21.538
2.25 1 0.948725 0.388012 0.315311 0.00630256 0.00609398 0.000360538 0.11134 0.114661 0.107916 0.33792 21.5336
2.3 0 0.948121 -0.383617 -0.320722 0.00631484 0.0061419 0.00036994 0.11161 0.114963 0.108152 0.339087 21.3752
2.3 1 0.948156 0.383102 0.321154 0.00631406 0.00614944 0.000367201 0.11164 0.114961 0.108217 0.337484 21.3643
2.35 0 0.948423 -0.378713 -0.326537 0.00636358 0.00619044 0.000378271 0.112045 0.115456 0.108526 0.341238 21.2499
2.35 1 0.948027 0.378223 0.326888 0.00635494 0.00619169 0.000378941 0.112012 0.115421 0.108496 0.341159 21.2332
2.4 0 0.947487 -0.37375 -0.332253 0.0063794 0.00622945 0.000385612 0.112289 0.115735 0.108734 0.342508 21.1014
2.4 1 0.947091 0.373208 0.332601 0.00637558 0.00622602 0.000386175 0.112257 0.115708 0.108696 0.342812 21.091
2.45 0 0.947477 -0.368709 -0.337817 0.0064143 0.0062808 0.00039372 0.112673 0.116163 0.109071 0.34406 20.9481
2.45 1 0.946954 0.368123 0.33825 0.0064065 0.00627734 0.000396586 0.112623 0.116136 0.108996 0.345203 20.9378
2.5 0 0.946999 -0.363516 -0.343434 0.00643551 0.00632968 0.000403477 0.112983 0.116529 0.109322 0.346223 20.816
2.5 1 0.946723 0.362998 0.343829 0.00643785 0.00632431 0.000404323 0.11297 0.116528 0.109296 0.346804 20.8069
2.55 0 0.946671 -0.358246 -0.348905 0.00645549 0.00638456 0.000407007 0.113314 0.116864 0.109649 0.345917 20.6694
2.55 1 0.946337 0.357676 0.349375 0.00645744 0.00637755 0.000407475 0.113292 0.11685 0.109618 0.346331 20.6587
2.6 0 0.946611 -0.352966 -0.354277 0.00648828 0.00643683 0.00041852 0.113689 0.117319 0.109939 0.349084 20.535
2.6 1 0.94633 0.352385 0.354707 0.00648509 0.00643659 0.000418004 0.113674 0.117299 0.109928 0.348891 20.5265
2.65 0 0.945878 -0.347455 -0.359618 0.00651194 0.00647474 0.00043007 0.113959 0.117676 0.110117 0.352626 20.4044
2.65 1 0.946029 0.346894 0.360015 0.00651413 0.00648379 0.000427043 0.114008 0.117697 0.110197 0.351268 20.3916
2.7 0 0.945814 -0.341878 -0.364746 0.00653359 0.00653608 0.000428938 0.114323 0.118015 0.110507 0.350987 20.2641
2.7 1 0.945782 0.341329 0.365139 0.0065373 0.00653773 0.000429831 0.114346 0.118045 0.110523 0.351261 20.2573
2.75 0 0.945148 -0.336514 -0.369967 0.00654895 0.00658378 0.000435874 0.114598 0.118343 0.110726 0.352971 20.1324
2.75 1 0.945351 0.335827 0.370362 0.00655995 0.00658646 0.000436279 0.114658 0.118403 0.110786 0.352897 20.1253
2.8 0 0.945093 -0.330738 -0.375072 0.00657712 0.00663976 0.000441293 0.114965 0.11875 0.11105 0.354245 20.0008
2.8 1 0.944752 0.330186 0.37545 0.00657462 0.00663693 0.000443047 0.114941 0.118743 0.11101 0.354963 19.9892
2.85 0 0.944367 -0.325021 -0.380015 0.00659218 0.0066847 0.000444582 0.115225 0.119041 0.111279 0.355204 19.8846
2.85 1 0.944147 0.324417 0.380407 0.00659239 0.00668326 0.000445519 0.11522 0.119043 0.111265 0.355534 19.8794
2.9 0 0.944174 -0.319278 -0.384914 0.00662507 0.00673036 0.000443884 0.115566 0.119371 0.111631 0.354228 19.7438
2.9 1 0.943953 0.318552 0.385291 0.00662371 0.00673122 0.00044989 0.115564 0.11942 0.111574 0.356489 19.7391
2.95 0 0.94389 -0.313421 -0.389733 0.00663765 0.00679488 0.00045526 0.115899 0.119819 0.111842 0.358778 19.615
2.95 1 0.943666 0.312727 0.390162 0.00663878 0.00679295 0.000460269 0.115895 0.119854 0.111796 0.360483 19.6048
3 0 0.943897 -0.307405 -0.394436 0.00666597 0.00685246 0.000456931 0.116269 0.120213 0.112186 0.359281 19.5155
3 1 0.943554 0.306759 0.394888 0.00666423 0.00684824 0.00045599 0.116243 0.120178 0.11217 0.358934 19.5016
3.05 0 0.943007 -0.301368 -0.399027 0.00668029 0.0068911 0.00045727 0.116496 0.120457 0.112396 0.35967 19.3809
3.05 1 0.942967 0.300719 0.399438 0.00668284 0.00689342 0.00045605 0.116517 0.120467 0.112429 0.359174 19.3786
3.1 0 0.94306 -0.29532 -0.403629 0.00670623 0.00695304 0.000458299 0.116873 0.120866 0.112739 0.360496 19.2574
3.1 1 0.942959 0.294587 0.404011 0.00670967 0.00695277 0.000460162 0.116886 0.12089 0.112741 0.360926 19.2508
3.15 0 0.942653 -0.28915 -0.408075 0.00672973 0.00700065 0.000462067 0.117177 0.121216 0.112993 0.362054 19.133
3.15 1 0.942614 0.288396 0.408468 0.00673583 0.00699926 0.000460746 0.117197 0.121217 0.113034 0.361183 19.1274
3.2 0 0.942127 -0.283012 -0.412365 0.00673853 0.00705892 0.000465618 0.117463 0.121582 0.113193 0.365024 19.0195
3.2 1 0.942016 0.282231 0.412772 0.00674665 0.00705208 0.000458827 0.117468 0.121515 0.113277 0.361936 19.0084
3.25 0 0.941726 -0.27663 -0.416674 0.00675969 0.00710633 0.000453098 0.117754 0.121804 0.11356 0.361652 18.9158
3.25 1 0.941375 0.275927 0.417018 0.00675566 0.00710482 0.000455957 0.117731 0.121807 0.113508 0.362805 18.9062
3.3 0 0.94155 -0.270272 -0.420751 0.00679162 0.0071552 0.000466172 0.118097 0.12226 0.113781 0.365922 18.7934
