1.00    0.0000  0.000000      -1.0733        0.00000      1.0359      0.00000      0.00000  
0.95    -0.0394     -0.000257     -0.5089           -0.00883     0.5089       0.00010      0.00883  
0.90    -0.0505     -0.000753     0.0671            -0.00962     -0.0665      0.00070      0.00962  
0.85    -0.0326     -0.001114     0.6543            -0.00392     -0.6522      0.00219      0.00392  
0.80    0.0149      -0.001090     1.2573             0.00509      -1.2527     0.00492     -0.00509 
0.75    0.0931      -0.000621     1.8902             0.01305      -1.8813     0.00924     -0.01305 
0.70    0.2035       0.000126      2.5534            0.01551      -2.5376     0.01553     -0.01551 
0.65    0.3464       0.000794      3.1857            0.00967      -3.1599     0.02402     -0.00967 
0.60    0.5166       0.000970      3.6359           -0.00369     -3.5975      0.03447      0.00369  
0.55    0.7001       0.000377      3.7081           -0.01996     -3.6570      0.04594      0.01996  
0.50    0.8742      -0.000973     3.2745            -0.03296     -3.2128      0.05680      0.03296  
0.45    1.0136      -0.002795     2.3554            -0.03832     -2.2868      0.06524      0.03832  
0.40    1.0975      -0.004663     1.1015            -0.03487     -1.0305      0.06986      0.03487  
0.35    1.1147      -0.006159     -0.2771           -0.02378     0.3462       0.06995      0.02378  
0.30    1.0644      -0.006954     -1.5709           -0.00734     1.6338       0.06554      0.00734  
0.25    0.9554      -0.006852     -2.6119            0.01167      2.6656      0.05728     -0.01167 
0.20    0.8035      -0.005784     -3.3003            0.03092      3.3427      0.04625     -0.03092 
0.15    0.6272      -0.003806     -3.6190            0.04669      3.6507      0.03343     -0.04669 
0.10    0.4407      -0.001429     -3.8083            0.04272      3.8316      0.01920     -0.04272 
0.05    0.2381      -0.000029     -4.3492            0.01083      4.3585      0.00587     -0.01083 
0.00    0.0000       0.000000      -5.1971           0.00000      5.1391      0.00000      0.00000  
