1.00  0.0000   0.000000  2.0519    0.00000      -2.0500   0.0000000   0.00000   
0.95  0.1020   0.000202  2.0289    0.00758      -2.0292  -0.0000346  -0.00758           
0.90  0.2033   0.000710  2.0291    0.01221      -2.0294  -0.0001210  -0.01221           
0.85  0.3053   0.001374  2.0522    0.01380      -2.0524  -0.0002333  -0.01380           
0.80  0.4085   0.002042  2.0731    0.01242      -2.0729  -0.0003449  -0.01242           
0.75  0.5118   0.002574  2.0478    0.00845      -2.0473  -0.0004310  -0.00845           
0.70  0.6117   0.002858  1.9270    0.00265      -1.9262  -0.0004729  -0.00265           
0.65  0.7023   0.002827  1.6735   -0.00391      -1.6725  -0.0004623   0.00391           
0.60  0.7766   0.002473  1.2753   -0.01008      -1.2744  -0.0004007   0.01008           
0.55  0.8277   0.001842  0.7509   -0.01485      -0.7504  -0.0002966   0.01485           
0.50  0.8503   0.001022  0.1447   -0.01748      -0.1446  -0.0001628   0.01748           
0.45  0.8418   0.000134  -0.4832  -0.01759      0.4827   -0.0000145   0.01759           
0.40  0.8028  -0.000696  -1.0682  -0.01517      1.0673    0.0001316   0.01517   
0.35  0.7367  -0.001348  -1.5540  -0.01058      1.5529    0.0002582   0.01058   
0.30  0.6496  -0.001731  -1.9040  -0.00457      1.9029    0.0003472   0.00457   
0.25  0.5487  -0.001800  -2.1102   0.00173      2.1093    0.0003828  -0.00173   
0.20  0.4407  -0.001574  -2.1961   0.00703      2.1957    0.0003558  -0.00703   
0.15  0.3303  -0.001134  -2.2081   0.01008      2.2081    0.0002717  -0.01008   
0.10  0.2202  -0.000615  -2.1971   0.01007      2.1974    0.0001552  -0.01007   
0.05  0.1104  -0.000181  -2.1984   0.00668      2.1987    0.0000476  -0.00668   
0.00  0.0000   0.000000  -2.2199   0.00000      2.2182    0.0000000   0.00000  
