t ekin epot bpot nu_top nu_bot nu_vol nu_eps nu_tmp nu_mix 
2.000000 1.72829059e-07 0.0591540855 -0.059071908 1.00436924 1.00039466 1.00028899 0.000109554956 1.00014226 1.00015879 
2.050000 1.81971422e-07 0.0591541889 -0.0591779903 1.00431881 1.00038657 1.00030196 0.000113112624 1.00014241 1.00011781 
2.100000 1.91609635e-07 0.0591542901 -0.0590283084 1.00426952 1.00037719 1.00031561 0.000116882638 1.00014292 1.00013836 
2.150000 2.01773272e-07 0.0591543892 -0.0593378306 1.00422136 1.00036656 1.00033008 0.000120876455 1.00014376 1.00015863 
2.200000 2.1249362e-07 0.059154486 -0.0591935902 1.00417434 1.00035493 1.00034561 0.000125104593 1.00014495 1.00014235 
2.250000 2.23803857e-07 0.0591545806 -0.0590044782 1.00412833 1.0003426 1.000362 0.000129579983 1.00014647 1.00013813 
2.300000 2.3573901e-07 0.0591546729 -0.0594870104 1.0040832 1.00032966 1.00037925 0.000134316023 1.00014832 1.00015631 
2.350000 2.48336144e-07 0.0591547629 -0.0595614426 1.004039 1.00031622 1.00039754 0.000139326974 1.0001505 1.00012923 
2.400000 2.61634478e-07 0.0591548505 -0.0591727187 1.00399566 1.00030236 1.00041686 0.000144626561 1.00015301 1.00013566 
2.450000 2.75675598e-07 0.0591549356 -0.059311984 1.00395318 1.00028822 1.0004371 0.000150230262 1.00015585 1.00012955 
2.500000 2.90503515e-07 0.0591550184 -0.0590949733 1.00391147 1.00027384 1.00045906 0.000156154666 1.00015904 1.00014923 
2.550000 3.06164815e-07 0.0591550986 -0.0591054531 1.00387057 1.00025947 1.00048231 0.000162416808 1.00016256 1.00017105 
2.600000 3.22708871e-07 0.0591551763 -0.058883523 1.00383045 1.00024506 1.00050672 0.000169035122 1.00016645 1.00017393 
2.650000 3.40187969e-07 0.0591552513 -0.059162079 1.00379108 1.0002306 1.00053273 0.000176028632 1.00017069 1.00016929 
2.700000 3.58657534e-07 0.0591553238 -0.0591817867 1.00375247 1.00021618 1.00056009 0.000183417654 1.0001753 1.00014498 
2.750000 3.78176287e-07 0.0591553935 -0.059430723 1.00371462 1.00020179 1.00058888 0.000191222792 1.0001803 1.00017705 
2.800000 3.98806522e-07 0.0591554604 -0.059194546 1.00367741 1.00018755 1.00061939 0.000199468001 1.0001857 1.00018192 
2.850000 4.20614157e-07 0.0591555245 -0.0591676738 1.00364094 1.00017336 1.00065169 0.000208176379 1.0001915 1.00018891 
2.900000 4.43669169e-07 0.0591555857 -0.059441176 1.00360512 1.0001594 1.00068618 0.00021737314 1.00019773 1.00020453 
2.950000 4.68045722e-07 0.0591556439 -0.0595177199 1.00357003 1.00014568 1.00072269 0.00022708538 1.00020441 1.00019565 
3.000000 4.93822428e-07 0.059155699 -0.0589366044 1.00353563 1.00013228 1.00076121 0.00023734066 1.00021154 1.00019234 
3.050000 5.21082699e-07 0.059155751 -0.058929068 1.00350187 1.00011914 1.00080216 0.000248169292 1.00021916 1.00022095 
3.100000 5.49914944e-07 0.0591557998 -0.058983685 1.00346879 1.00010632 1.00084529 0.000259603684 1.00022729 1.00023142 
3.150000 5.80412886e-07 0.0591558452 -0.0592413877 1.0034364 1.00009371 1.00089112 0.000271676333 1.00023594 1.00023474 
3.200000 6.12676019e-07 0.0591558871 -0.0593398682 1.0034047 1.00008138 1.00093948 0.000284422017 1.00024514 1.00023426 
3.250000 6.46809879e-07 0.0591559255 -0.0592023869 1.00337362 1.00006943 1.00099087 0.000297878765 1.00025492 1.00025636 
3.300000 6.8292636e-07 0.0591559603 -0.0594109329 1.0033432 1.00005785 1.00104522 0.000312086758 1.00026531 1.00025798 
3.350000 7.21144141e-07 0.0591559912 -0.0584488562 1.00331347 1.00004659 1.00110307 0.000327085479 1.00027633 1.00031359 
3.400000 7.61589283e-07 0.0591560181 -0.0592589519 1.00328434 1.00003592 1.00116378 0.00034292225 1.00028803 1.00029424 
