[1]t	 [2]tag	 [3]Atot	 [4]Gamma	 [5]mu_x	 [6]mu_y	 [7]mu_z	 [8]M20	 [9]M02	 [10]M11	 [11]a	 [12]b	 [13]c	 [14]e	 [15]maxvor 
0.05 0 0.04052734375 0.717796617645641 -0.499971940320931 -0.00759657197097308 1.08191986639514e-08 0.00253185114651973 0.00259763231568784 -1.35191777409552e-05 0.0716204123292205 0.0721152184429043 0.0711221638685672 0.16538184117385 30.9390747901081 
0.05 1 0.040283203125 0.71559702100304 0.499653233137161 0.00745695825820128 1.3544735639052e-08 0.00250780507918048 0.00259881526692841 -2.83106673478501e-05 0.0714606209468466 0.0722066915538651 0.0707066785181058 0.202771306974775 30.9321150138866 
0.1 0 0.0400390625 0.713016503318726 0.499883911803264 0.0152682019303985 5.9960535467545e-09 0.00256014810677154 0.00253091752684359 -2.30465368775399e-05 0.0713517037891537 0.0717331571436103 0.0709682001564108 0.145650712787668 30.6191395520264 
0.1 1 0.0400390625 0.713007398881208 -0.499895709959444 -0.0152584177570662 2.33451796415921e-09 0.00256013710223219 0.00253079746926838 -2.30676859562196e-05 0.0713507853600826 0.071732899985314 0.0709666132959583 0.145776828704847 30.6198674108485 
0.15 0 0.04052734375 0.716359856143782 0.499755032230355 0.0229058495643678 -3.48549095706902e-09 0.00256447631804388 0.00258093841047557 -2.2816162752364e-05 0.0717315462576923 0.0720688951711379 0.0713926032992945 0.136674313446622 30.6487375380525 
0.15 1 0.04052734375 0.716349050289668 -0.499772192191689 -0.0228902231083234 -5.57038550399492e-09 0.00256446924241143 0.00258069545768528 -2.28202839608089e-05 0.0717298034299322 0.0720666625609451 0.0713913548514125 0.136577404770069 30.6486895709033 
0.2 0 0.040283203125 0.713773989217154 0.499277244619267 0.0307261594254743 -3.14486436042496e-09 0.00261529635907319 0.00251932265516663 -3.53570677369745e-05 0.0716562559323317 0.0724833136795777 0.0708195401461178 0.213027899845774 30.3073778745391 
0.2 1 0.040283203125 0.713760711061221 -0.499300365658031 -0.0307065535738526 -7.84284742839782e-09 0.00261523763136304 0.00251899972198508 -3.52994460961109e-05 0.0716535927455708 0.0724816784120046 0.0708158245117217 0.213161871610077 30.3128836725167 
0.25 0 0.04052734375 0.714828190512405 -0.499094347030244 -0.0376143612576656 -4.96474511854816e-09 0.00260958393116353 0.00255494322958424 4.12857750437966e-06 0.0718646447201109 0.0722481019818517 0.071479130391433 0.145511807926805 30.2960812547091 
0.25 1 0.04052734375 0.714825446759824 0.499066115607134 0.0376399480885665 5.51737841366859e-10 0.00260972032019912 0.00255539018204818 4.05147064378724e-06 0.0718687032180719 0.0722498551155365 0.0714855190949789 0.145073141262254 30.2857200969805 
0.3 0 0.041259765625 0.721206380519481 -0.497658978246362 -0.045543204876606 3.6788524727411e-09 0.00272029723788345 0.00253087072848733 1.5614012367444e-05 0.0724649430164047 0.0737777153219159 0.0711279456656797 0.265596003069675 30.0162363916984 
0.3 1 0.041259765625 0.721204195796408 0.497623182962549 0.0455739455223572 7.07337871226151e-09 0.00272063745108162 0.00253138784429114 1.55590583126837e-05 0.0724708582491802 0.0737822214314607 0.0711353244976392 0.265446665462474 30.0049893058622 
0.35 0 0.041748046875 0.724508195012493 0.497112970563626 0.0523875808144146 4.57526509190715e-09 0.00271899493748709 0.00258849879569024 4.7861714548047e-05 0.0728525478839095 0.0739549446147633 0.0717332115089096 0.243271285725149 29.9606995985453 
0.35 1 0.04150390625 0.722317373474237 -0.497507339828273 -0.0522957660818928 9.89725883959761e-09 0.00268661201930009 0.00259475972780172 5.43977692197099e-05 0.072673046909441 0.0736461548928899 0.0716867307365603 0.22913746298086 29.9718948603578 
0.4 0 0.041748046875 0.724213763961645 -0.496623639803452 -0.0604974755051606 4.47832707536387e-09 0.00274891653136445 0.00256911033602161 3.68270663641326e-05 0.0729248028272004 0.0742450930286289 0.0715801641234662 0.265516450359625 29.7639177689206 
0.4 1 0.041748046875 0.72415985318287 0.496573137547558 0.0605401749259701 -5.11984373326573e-09 0.00274947815098331 0.00256985836130185 3.67516540422498e-05 0.0729337816946658 0.0742523658190419 0.0715909155888196 0.265333504105268 29.7417460571646 
