[1]t	 [2]tag	 [3]Gamma	 [4]mu_x	 [5]mu_y	 [6]M20	 [7]M02	 [8]M11	 [9]a	 [10]b	 [11]c	 [12]e 
0.4 4 111.749 2.20813 0.79519 0.0610599 0.0605113 0.00230424 0.348671 0.355264 0.341951 0.271188 
0.45 0 -5.11217 -0.945456 -2.02113 0.260607 0.0376056 0.0752866 0.546088 0.753186 0.170694 0.973981 
0.45 1 137.438 -1.17538 -0.916781 0.0637887 0.0592953 0.000433889 0.350833 0.357296 0.344249 0.267763 
0.45 2 -1.49558 3.20053 -1.56144 0.010799 0.0230453 0.0128334 0.183968 0.249566 0.0735232 0.955619 
0.45 3 -19.4441 3.56955 1.29477 0.151344 0.351222 -0.154978 0.708919 0.933477 0.365721 0.920057 
0.45 4 111.654 2.07422 1.08149 0.0616667 0.0617785 0.00138908 0.351348 0.355282 0.347368 0.209892 
0.5 0 137.296 -1.03638 -1.05154 0.0613438 0.0639173 0.00232683 0.353922 0.361357 0.346328 0.285395 
0.5 1 -4.46374 -0.145783 -1.71412 0.124848 0.183085 0.138381 0.554917 0.768606 0.158463 0.978516 
0.5 2 -1.37197 3.43441 -1.26525 0.00961098 0.023764 0.012325 0.182688 0.248594 0.0703625 0.959108 
0.5 3 111.62 1.91331 1.33751 0.0626974 0.0628728 0.00170671 0.354359 0.359149 0.349503 0.230209 
0.5 4 -0.0153072 1.69922 2.55859 -0 -0 -0 -0 0 -0 -nan 
0.5 5 -18.0968 3.43006 1.84297 0.164453 0.297744 -0.172991 0.679851 0.91267 0.302372 0.943524 
0.55 0 137.316 -0.891777 -1.15847 0.0640498 0.0636733 0.00191618 0.357384 0.362731 0.351955 0.241939 
0.55 1 -3.82018 0.295083 -1.01208 0.00882912 0.197716 0.0137811 0.454473 0.630423 0.125132 0.980103 
0.55 2 -1.19938 3.6166 -0.965796 0.00815921 0.0200944 0.0100908 0.168088 0.227377 0.0693319 0.952378 
0.55 3 111.631 1.72933 1.57208 0.0633501 0.0644551 0.00200224 0.357498 0.363262 0.35164 0.25092 
0.55 4 -16.9742 3.19084 2.35655 0.215022 0.233133 -0.179144 0.669443 0.898276 0.299012 0.942972 
0.6 0 137.318 -0.751006 -1.24306 0.0640685 0.0660877 0.000458323 0.360772 0.363832 0.357685 0.18304 
0.6 1 -3.2797 0.222715 -0.36226 0.0322112 0.0575599 -0.0345773 0.299618 0.404259 0.126953 0.94941 
0.6 2 -0.992249 3.75498 -0.657848 0.00628982 0.0160304 0.00751914 0.149399 0.200593 0.0663546 0.943703 
0.6 3 111.503 1.51866 1.78126 0.0635904 0.0660187 0.0017654 0.360013 0.365916 0.354011 0.253 
0.6 4 -15.8044 2.90465 2.80996 0.240179 0.174037 -0.162801 0.643596 0.863983 0.286294 0.943502 
0.65 0 137.35 -0.616354 -1.31875 0.0661162 0.0665687 0.00163068 0.364259 0.368751 0.359711 0.220065 
0.65 1 -2.90375 -0.139832 -0.076867 0.0719518 0.00900554 -0.0126882 0.28453 0.38578 0.114405 0.955016 
0.65 2 -0.885974 3.85743 -0.345228 0.00575233 0.0135461 0.00641157 0.138919 0.185214 0.0655177 0.935344 
0.65 3 111.383 1.28283 1.95903 0.0640967 0.0673442 0.0013083 0.362548 0.368255 0.35675 0.248006 
0.65 4 -14.7224 2.56822 3.21716 0.237924 0.121186 -0.132265 0.599257 0.805141 0.264512 0.944494 
0.7 0 -2.31825 -0.633223 -0.124407 0.0989513 0.0170215 0.0362852 0.340548 0.474785 0.0807742 0.985422 
0.7 1 137.315 -0.477732 -1.3908 0.0667717 0.0682037 0.00128139 0.36739 0.371364 0.363373 0.206333 
0.7 2 -0.771943 3.92225 -0.0286542 0.00487198 0.0114602 0.00516003 0.127797 0.169044 0.0639411 0.925703 
0.7 3 111.471 1.02886 2.10104 0.0650962 0.0687565 0.00107461 0.365859 0.371615 0.360011 0.247939 
0.7 4 -13.6244 2.20219 3.56851 0.207052 0.0833035 -0.100793 0.538847 0.725875 0.231985 0.947555 
0.75 0 -1.1626 -1.05496 -0.453536 0.0689109 0.0611893 0.062632 0.360694 0.505571 0.0678114 0.990964 
0.75 1 137.345 -0.328141 -1.45624 0.0669222 0.070554 0.00182148 0.370778 0.377651 0.363775 0.268582 
0.75 2 111.262 0.764517 2.20768 0.0657139 0.0696441 0.000785271 0.36791 0.373618 0.362113 0.246251 
0.75 3 -12.7781 1.79721 3.86688 0.17342 0.0577759 -0.0745797 0.480828 0.648023 0.206053 0.9481 
0.75 4 -0.632734 3.94568 0.273749 0.00382165 0.00892813 0.00379375 0.112915 0.147972 0.0600328 0.914004 
0.8 0 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
0.8 1 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
0.8 2 137.337 -0.164728 -1.50892 0.067722 0.0720688 0.000503969 0.373886 0.379806 0.36787 0.248729 
0.8 3 -0.488985 -1.44638 -1.44703 0.00383167 0.101528 0.0134785 0.324591 0.454649 0.0633441 0.990247 
0.8 4 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
0.8 5 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
0.8 6 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
0.8 7 111.174 0.494567 2.28241 0.0663987 0.0708217 0.000180718 0.370433 0.376375 0.364394 0.250308 
0.8 8 -12.0274 1.37572 4.10562 0.138404 0.0416937 -0.0534971 0.424379 0.569492 0.189402 0.943075 
0.8 9 -0.558752 3.94532 0.585976 0.0035336 0.00651597 0.00269724 0.100248 0.127333 0.0623343 0.871981 
0.85 0 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
0.85 1 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
0.85 2 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
0.85 3 137.365 0.0135394 -1.54013 0.0689489 0.0732155 -9.86652e-05 0.377047 0.382669 0.37134 0.241526 
0.85 4 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
0.85 5 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
0.85 6 -0.687329 -1.09374 -2.3905 0.0294554 0.0671651 -0.0413205 0.310838 0.432965 0.0760426 0.984456 
0.85 7 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
0.85 8 -0.287351 -0.281818 -2.55154 0.0374546 0.00315419 -0.00937305 0.201516 0.282308 0.0389873 0.990418 
0.85 9 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
0.85 10 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
0.85 11 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
0.85 12 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
0.85 13 111.22 0.221624 2.32688 0.0673981 0.0720794 -0.000466617 0.373467 0.379804 0.36702 0.257259 
0.85 14 -11.3999 0.931061 4.28928 0.110494 0.0311854 -0.0366422 0.376404 0.499663 0.183565 0.930072 
0.85 15 -0.486845 3.90402 0.889398 0.00325887 0.00488606 0.00182594 0.0902493 0.110195 0.0643967 0.811473 
0.9 0 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
0.9 1 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
0.9 2 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
0.9 3 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
0.9 4 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
0.9 5 137.725 0.198817 -1.5418 0.0708537 0.0744362 -0.000146052 0.381169 0.385855 0.376425 0.219736 
0.9 6 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
0.9 7 -1.79376 -0.374045 -2.92325 0.105318 0.0236739 -0.0404695 0.359155 0.49392 0.118436 0.970825 
0.9 8 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
0.9 9 -1.21162 0.67284 -2.34591 0.0787498 0.0427176 0.0533277 0.348522 0.483782 0.0942868 0.980824 
0.9 10 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
0.9 11 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
0.9 12 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
0.9 13 111.383 -0.051293 2.33984 0.0687904 0.0733403 -0.000982904 0.377002 0.383519 0.370371 0.259604 
0.9 14 -11.5743 0.464147 4.41495 0.107937 0.0264442 -0.0263137 0.36658 0.48103 0.193319 0.91569 
0.9 15 -0.757993 3.84436 1.19613 0.00516081 0.00791882 0.00269603 0.114366 0.138333 0.0838042 0.795607 
0.95 0 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
0.95 1 135.813 0.370436 -1.51181 0.0641779 0.0739871 -0.00186784 0.371705 0.385566 0.357307 0.375782 
0.95 2 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
0.95 3 -2.41786 0.326962 -3.11719 0.126725 0.00815329 0.00467255 0.367258 0.503804 0.126249 0.968093 
0.95 4 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
0.95 5 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
0.95 6 111.377 -0.321809 2.32237 0.0700705 0.0741268 -0.00144676 0.379733 0.386238 0.373115 0.258458 
0.95 7 -11.0913 0.00209061 4.48952 0.0902995 0.0227186 -0.0144482 0.336182 0.431877 0.198793 0.887763 
0.95 8 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
0.95 9 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
0.95 10 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
0.95 11 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
0.95 12 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
0.95 13 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
0.95 14 -0.724655 3.74994 1.48423 0.00565126 0.00641016 0.00220409 0.109825 0.128586 0.0871114 0.735565 
1 0 136.008 0.552028 -1.46672 0.0734862 0.0698543 0.00213168 0.378603 0.385929 0.371133 0.274236 
1 1 111.264 -0.586448 2.27508 0.0713232 0.0746077 -0.00190637 0.382009 0.38854 0.375365 0.258207 
1 2 -10.8583 -0.462768 4.51326 0.0826647 0.0217749 -0.00539206 0.323171 0.407771 0.206403 0.862431 
1 3 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
1 4 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
1 5 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
